 Date,AIG Price Target,AIG Price Target - High,AIG Price Target - Low,AIG Price Target - StdDev,AIG Price Target - Median,AIG Open,AIG Low,AIG High,AIG Close,AIG Adj. Close,AIG Rating,AIG Price Target - #,Ticker
02-05-2013,40.40625,47.0,33,4.05131,40.5,31.173871756352,30.922730897608,31.611342929648004,38.75,31.392607343,4.04545,16,AIG
02-06-2013,40.40625,47.0,33,4.05131,40.5,31.181973074376003,31.044250667968,31.5951402936,38.75,31.392607343,4.04545,16,AIG
02-07-2013,40.40625,47.0,33,4.05131,40.5,31.465519205216005,30.841717717368,31.546532385456,38.64,31.303492844736,4.04545,16,AIG
02-08-2013,40.40625,47.0,33,4.05131,40.5,31.400708661024,31.198175710424,31.619444247672003,38.79,31.425012615096,4.04545,16,AIG
02-11-2013,40.40625,47.0,33,4.05131,40.5,31.506025795336,31.31159416276,32.048814102944,39.45,31.959699604680004,4.04545,16,AIG
02-12-2013,40.40625,47.0,33,4.05131,40.5,32.0002061948,31.190074392400003,32.32425891576,38.63,31.295391526712,4.04545,16,AIG
02-13-2013,40.40625,47.0,33,4.05131,40.5,31.538431067432,31.238682300544003,31.740964018032003,38.87,31.489823159288,4.04545,16,AIG
02-14-2013,40.59375,47.0,33,3.81288,40.5,31.303492844736,31.190074392400003,31.805774562224,39.21,31.765267972104,4.04545,16,AIG
02-15-2013,40.59375,47.0,33,3.81288,40.5,31.846281152344005,31.044250667968,31.846281152344005,38.35,31.068554622040004,4.09524,16,AIG
02-19-2013,40.59375,47.0,33,3.81288,40.5,31.076655940064,30.86602167144,31.538431067432,38.6,31.271087572640003,4.09524,16,AIG
02-20-2013,40.59375,47.0,33,3.81288,40.5,31.271087572640003,30.37994259,31.335898116832,37.57,30.436651816168,4.09524,16,AIG
02-21-2013,40.59375,47.0,33,3.81288,40.5,30.266524137664,29.829052964368003,30.469057088264,37.28,30.201713593472004,4.09524,16,AIG
02-22-2013,41.03125,47.5,33,4.19996,41.0,31.830078516296,30.671590038864,32.024510148872004,38.45,31.149567802280004,4.0,16,AIG
02-25-2013,41.59375,47.5,33,4.225,42.0,31.506025795336,29.861458236464003,31.538431067432,37.06,30.023484596944005,4.0,16,AIG
02-26-2013,41.59375,47.5,33,4.225,42.0,30.347537317904003,29.715634512032,30.614880812696,37.69,30.533867632456,4.0,16,AIG
02-27-2013,41.65625,47.5,33,4.26731,42.0,30.574374222576004,30.290828091736003,30.699944651948005,37.77,30.598678176648004,4.0,16,AIG
02-28-2013,41.65625,47.5,33,4.26731,42.0,30.663488720840004,30.566272904552,31.157669120304003,38.01,30.793109809224,4.0,16,AIG
03-01-2013,41.78125,47.5,33,4.24621,42.5,30.347537317904003,30.09639645916,30.793109809224,37.85,30.663488720840004,3.90476,16,AIG
03-04-2013,41.78125,47.5,33,4.24621,42.5,30.606779494672004,30.388043908024,30.914629579584,38.07,30.841717717368,3.90476,16,AIG
03-05-2013,41.78125,47.5,33,4.24621,42.5,31.011845395872,30.955136169704,31.51412711336,38.25,30.9875414418,3.90476,16,AIG
03-06-2013,41.78125,47.5,33,4.24621,42.5,31.214378346472003,30.9875414418,31.368303388928,38.45,31.149567802280004,3.90476,16,AIG
03-07-2013,41.78125,47.5,33,4.24621,42.5,31.279188890664003,31.271087572640003,31.886787742464,39.01,31.603241611624,3.90476,16,AIG
03-08-2013,41.78125,47.5,33,4.24621,42.5,31.821977198272,31.71666006396,32.235144417496,39.58,32.065016738992,3.90476,16,AIG
03-11-2013,42.03125,51.0,33,4.64512,42.5,32.105523329112,31.821977198272,32.162232555280006,39.47,31.975902240728,3.90476,16,AIG
03-12-2013,42.03125,51.0,33,4.64512,42.5,31.821977198272,31.473620523240005,32.08121937504,39.11,31.684254791864003,3.90476,16,AIG
03-13-2013,42.03125,51.0,33,4.64512,42.5,31.773369290128,31.408809979048005,31.943496968632,38.89,31.506025795336,3.90476,16,AIG
03-14-2013,42.21875,51.0,33,4.77941,42.5,31.611342929648004,31.441215251144005,31.781470608152,39.02,31.611342929648004,3.90476,16,AIG
03-15-2013,42.21875,51.0,33,4.77941,42.5,31.416911297072,31.246783618568003,31.655900178780005,38.97,31.570836339528,3.90476,16,AIG
03-18-2013,42.21875,51.0,33,4.77941,42.5,31.076655940064,30.930832215632,31.481721841264,38.6,31.271087572640003,3.90476,16,AIG
03-19-2013,42.21875,51.0,33,4.77941,42.5,31.327796798808,30.606779494672004,31.441215251144005,38.38,31.092858576112004,3.90476,16,AIG
03-20-2013,42.21875,51.0,33,4.77941,42.5,31.287290208688,30.97603757020592,31.36481982217768,38.3,31.02804803192,3.90476,16,AIG
03-21-2013,42.21875,51.0,33,4.77941,42.5,30.809312445272003,30.517664996408,30.853869694404004,37.8,30.62298213072,3.90476,16,AIG
03-22-2013,42.21875,51.0,33,4.77941,42.5,30.70399531096,30.485259724312005,30.870072330452,37.79,30.614880812696,3.90476,16,AIG
03-25-2013,42.56667,51.0,33,4.73591,43.0,30.785008491200003,30.355638635928,31.068554622040004,37.7,30.541968950480005,3.95,15,AIG
03-26-2013,42.56667,51.0,33,4.73591,43.0,30.833616399344,30.744501901080003,31.214378346472003,38.44,31.141466484256,3.95,15,AIG
03-27-2013,42.56667,51.0,33,4.73591,43.0,30.90652826156,30.679691356888,31.100959894136004,38.25,30.9875414418,3.95,15,AIG
03-28-2013,42.56667,51.0,33,4.73591,43.0,31.003744077848005,30.938933533656,31.530329749408004,38.82,31.449316569168,3.95,15,AIG
04-01-2013,42.76667,51.0,36,4.37747,43.0,31.43311393312,30.833616399344,31.651849519768003,38.23,30.971338805752,3.95,15,AIG
04-02-2013,42.76667,51.0,36,4.37747,43.0,31.084757258088,31.036149349944004,31.740964018032003,39.0,31.5951402936,3.95,15,AIG
04-03-2013,42.9,51.0,36,4.32127,43.0,31.611342929648004,30.574374222576004,31.749065336056,37.84,30.655387402816004,3.95,15,AIG
04-04-2013,42.9,51.0,36,4.32127,43.0,30.712096628984,30.367790612964,31.271087572640003,37.69,30.533867632456,3.95,15,AIG
04-05-2013,42.9,51.0,36,4.32127,43.0,30.031585914968,29.89386350856,31.35210075288001,38.62,31.287290208688,3.95,15,AIG
04-08-2013,42.9,51.0,36,4.32127,43.0,31.376404706952,31.117162530184,32.494386594264,40.09,32.47818395821601,3.95,15,AIG
04-09-2013,43.03333,51.0,36,4.19709,43.0,32.36476550588,31.943496968632,32.413373414024,39.63,32.105523329112,3.95,15,AIG
04-10-2013,43.3,51.0,36,4.18649,45.0,32.186536509352,31.959699604680004,32.72932481696,40.1,32.486285276240004,3.95,15,AIG
04-11-2013,43.3,51.0,36,4.18649,45.0,32.494386594264,32.235144417496,32.956161721632,40.44,32.761730089056,3.95,15,AIG
04-12-2013,43.3,51.0,36,4.18649,45.0,32.542994502408,32.154131237256,32.664514272768,40.13,32.51058923031201,3.95,15,AIG
04-15-2013,43.3,51.0,36,4.18649,45.0,32.24324573552,31.125263848208004,32.453880004144004,38.58,31.254884936592,3.95,15,AIG
04-16-2013,43.3,51.0,36,4.18649,45.0,31.708558745936003,31.659950837792,32.105523329112,39.56,32.048814102944,3.95,15,AIG
04-17-2013,43.71875,51.0,36,4.36595,45.0,31.676153473840003,31.113111871172,31.805774562224,38.56,31.238682300544003,4.0,16,AIG
04-18-2013,43.71875,51.0,36,4.36595,45.0,31.384506024976,30.82551508132,31.627545565696,38.34,31.060453304016004,4.0,16,AIG
04-19-2013,43.71875,51.0,36,4.36595,45.0,31.368303388928,31.060453304016004,31.570836339528,38.88,31.497924477312004,4.0,16,AIG
04-22-2013,43.71875,51.0,36,4.36595,45.0,31.497924477312004,30.938933533656,31.546532385456,38.61,31.279188890664003,4.0,16,AIG
04-23-2013,43.71875,51.0,36,4.36595,45.0,31.830078516296,31.765267972104,33.00476962977601,40.62,32.907553813488,4.0,16,AIG
04-24-2013,43.71875,51.0,36,4.36595,45.0,32.939959085584,32.939959085584,33.92831988451201,41.6,33.70148297984,4.0,16,AIG
04-25-2013,43.71875,51.0,36,4.36595,45.0,33.814901432176,33.644773753672006,34.560222690384,42.28,34.252372605472004,4.0,16,AIG
04-26-2013,43.71875,51.0,36,4.36595,45.0,33.693381661816005,32.923756449536,33.993130428704,40.87,33.110086764088,4.0,16,AIG
04-29-2013,43.71875,51.0,36,4.36595,45.0,33.450342121096,32.705020862888,33.612368481576006,41.31,33.46654475714401,4.0,16,AIG
04-30-2013,43.71875,51.0,36,4.36595,45.0,33.490848711216,33.280214442592,34.333385785712004,41.42,33.555659255408,4.0,16,AIG
05-01-2013,43.71875,51.0,36,4.36595,45.0,34.0255357008,33.312619714688,34.195663379304,41.19,33.369328940856,4.0,16,AIG
05-02-2013,43.71875,51.0,36,4.36595,45.0,33.733888251936,33.57178087827576,34.406297647928,42.13,34.130852835112,4.0,16,AIG
05-03-2013,46.15625,60.0,37,5.29658,46.5,35.34605053871201,35.265037358472,36.37491792776,44.52,36.067067842848,3.95238,16,AIG
