 Date,AMD Price Target,AMD Price Target - High,AMD Price Target - Low,AMD Price Target - StdDev,AMD Price Target - Median,AMD Open,AMD Low,AMD High,AMD Close,AMD Adj. Close,AMD Rating,AMD Price Target - #,Ticker
02-05-2013,2.74583,5.0,1.5,0.73313,2.5,2.55,2.49,2.6,2.6,2.6,2.9697,24,AMD
02-06-2013,2.74583,5.0,1.5,0.73313,2.5,2.59,2.56,2.64,2.6,2.6,2.9697,24,AMD
02-07-2013,2.74583,5.0,1.5,0.73313,2.5,2.61,2.56,2.63,2.57,2.57,2.9697,24,AMD
02-08-2013,2.74583,5.0,1.5,0.73313,2.5,2.58,2.58,2.6,2.59,2.59,2.9697,24,AMD
02-11-2013,2.77826,5.0,1.5,0.73186,2.5,2.59,2.59,2.7,2.67,2.67,3.0,23,AMD
02-12-2013,2.77826,5.0,1.5,0.73186,2.5,2.705,2.69,2.78,2.77,2.77,3.0,23,AMD
02-13-2013,2.77826,5.0,1.5,0.73186,2.5,2.81,2.73,2.83,2.75,2.75,3.0,23,AMD
02-14-2013,2.77826,5.0,1.5,0.73186,2.5,2.74,2.69,2.75,2.75,2.75,3.0,23,AMD
02-15-2013,2.77826,5.0,1.5,0.73186,2.5,2.77,2.7,2.79,2.71,2.71,3.0,23,AMD
02-19-2013,2.77826,5.0,1.5,0.73186,2.5,2.75,2.73,2.82,2.82,2.82,3.0,23,AMD
02-20-2013,2.77826,5.0,1.5,0.73186,2.5,2.84,2.68,2.84,2.7,2.7,3.0,23,AMD
02-21-2013,2.78913,5.0,1.5,0.7295,2.5,2.69,2.52,2.69,2.6,2.6,3.0,23,AMD
02-22-2013,2.78913,5.0,1.5,0.7295,2.5,2.64,2.55,2.67,2.61,2.61,3.0,23,AMD
02-25-2013,2.78913,5.0,1.5,0.7295,2.5,2.64,2.53,2.65,2.53,2.53,3.0,23,AMD
02-26-2013,2.77826,5.0,1.5,0.72439,2.5,2.54,2.44,2.545,2.46,2.46,3.0,23,AMD
02-27-2013,2.77826,5.0,1.5,0.72439,2.5,2.48,2.45,2.55,2.53,2.53,3.0,23,AMD
02-28-2013,2.77826,5.0,1.5,0.72439,2.5,2.56,2.48,2.57,2.49,2.49,3.0,23,AMD
03-01-2013,2.77826,5.0,1.5,0.72439,2.5,2.5,2.42,2.51,2.42,2.42,3.0,23,AMD
03-04-2013,2.8,5.0,2.0,0.69251,2.5,2.44,2.36,2.45,2.4,2.4,3.0,23,AMD
03-05-2013,2.8,5.0,2.0,0.69251,2.5,2.45,2.4,2.47,2.43,2.43,3.0,23,AMD
03-06-2013,2.8,5.0,2.0,0.69251,2.5,2.45,2.4,2.46,2.43,2.43,3.0,23,AMD
03-07-2013,2.8,5.0,2.0,0.69251,2.5,2.44,2.43,2.57,2.55,2.55,3.0,23,AMD
03-08-2013,2.8,5.0,2.0,0.69251,2.5,2.57,2.52,2.6409,2.56,2.56,3.0,23,AMD
03-11-2013,2.8,5.0,2.0,0.69251,2.5,2.57,2.51,2.6038,2.59,2.59,3.0,23,AMD
03-12-2013,2.8,5.0,2.0,0.69251,2.5,2.59,2.57,2.63,2.61,2.61,3.0,23,AMD
03-13-2013,2.8,5.0,2.0,0.69251,2.5,2.62,2.57,2.63,2.6,2.6,3.0,23,AMD
03-14-2013,2.8,5.0,2.0,0.69251,2.5,2.62,2.58,2.63,2.63,2.63,3.0,23,AMD
03-15-2013,2.8,5.0,2.0,0.69251,2.5,2.6,2.58,2.62,2.6,2.6,3.0,23,AMD
03-18-2013,2.83478,5.0,2.0,0.69664,2.75,2.59,2.55,2.68,2.65,2.65,3.125,23,AMD
03-19-2013,2.83478,5.0,2.0,0.69664,2.75,2.66,2.62,2.7,2.67,2.67,3.125,23,AMD
03-20-2013,2.83478,5.0,2.0,0.69664,2.75,2.7,2.69,2.75,2.75,2.75,3.125,23,AMD
03-21-2013,2.83478,5.0,2.0,0.69664,2.75,2.73,2.63,2.75,2.64,2.64,3.125,23,AMD
03-22-2013,2.83478,5.0,2.0,0.69664,2.75,2.66,2.53,2.67,2.54,2.54,3.125,23,AMD
03-25-2013,2.83478,5.0,2.0,0.69664,2.75,2.57,2.49,2.6,2.51,2.51,3.125,23,AMD
03-26-2013,2.83478,5.0,2.0,0.69664,2.75,2.52,2.5,2.54,2.54,2.54,3.125,23,AMD
03-27-2013,2.83478,5.0,2.0,0.69664,2.75,2.5,2.5,2.6182,2.55,2.55,3.125,23,AMD
03-28-2013,2.83478,5.0,2.0,0.69664,2.75,2.55,2.52,2.57,2.55,2.55,3.125,23,AMD
04-01-2013,2.83478,5.0,2.0,0.69664,2.75,2.54,2.42,2.57,2.44,2.44,3.125,23,AMD
04-02-2013,2.83478,5.0,2.0,0.69664,2.75,2.445,2.38,2.45,2.39,2.39,3.125,23,AMD
04-03-2013,2.83478,5.0,2.0,0.69664,2.75,2.4,2.32,2.41,2.32,2.32,3.125,23,AMD
04-04-2013,2.83478,5.0,2.0,0.69664,2.75,2.34,2.32,2.37,2.33,2.33,3.125,23,AMD
04-05-2013,2.83478,5.0,2.0,0.69664,2.75,2.3,2.28,2.31,2.29,2.29,3.125,23,AMD
04-08-2013,2.83478,5.0,2.0,0.69664,2.75,2.31,2.26,2.61,2.59,2.59,3.125,23,AMD
04-09-2013,2.83478,5.0,2.0,0.69664,2.75,2.58,2.44,2.63,2.63,2.63,3.125,23,AMD
04-10-2013,2.83478,5.0,2.0,0.69664,2.75,2.65,2.57,2.66,2.61,2.61,3.125,23,AMD
04-11-2013,2.83478,5.0,2.0,0.69664,2.75,2.55,2.46,2.57,2.52,2.52,3.125,23,AMD
04-12-2013,2.83478,5.0,2.0,0.69664,2.75,2.5,2.43,2.5,2.48,2.48,3.125,23,AMD
04-15-2013,2.83478,5.0,2.0,0.69664,2.75,2.45,2.4,2.465,2.4,2.4,3.125,23,AMD
04-16-2013,2.82391,5.0,2.0,0.69593,2.75,2.43,2.4,2.44,2.44,2.44,3.125,23,AMD
04-17-2013,2.82391,5.0,2.0,0.69593,2.75,2.41,2.4,2.47,2.4,2.4,3.12903,23,AMD
04-18-2013,2.82391,5.0,2.0,0.69593,2.75,2.4,2.2887,2.56,2.51,2.51,3.12903,23,AMD
04-19-2013,2.82391,5.0,2.0,0.69593,2.75,2.44,2.39,2.5,2.47,2.47,3.12903,23,AMD
04-22-2013,2.83043,5.0,2.0,0.69685,2.75,2.47,2.43,2.51,2.46,2.46,3.12903,23,AMD
04-23-2013,2.83043,5.0,2.0,0.69685,2.75,2.5,2.47,2.55,2.53,2.53,3.12903,23,AMD
04-24-2013,2.83043,5.0,2.0,0.69685,2.75,2.54,2.5222,2.62,2.61,2.61,3.12903,23,AMD
04-25-2013,2.83043,5.0,2.0,0.69685,2.75,2.63,2.63,2.72,2.68,2.68,3.12903,23,AMD
04-26-2013,2.83043,5.0,2.0,0.69685,2.75,2.66,2.6,2.68,2.64,2.64,3.12903,23,AMD
04-29-2013,2.83043,5.0,2.0,0.69685,2.75,2.66,2.65,2.7,2.68,2.68,3.12903,23,AMD
04-30-2013,2.83043,5.0,2.0,0.69685,2.75,2.68,2.67,2.82,2.82,2.82,3.12903,23,AMD
05-01-2013,2.83043,5.0,2.0,0.69685,2.75,2.81,2.79,3.28,3.22,3.22,3.12903,23,AMD
05-02-2013,2.87391,5.0,2.0,0.79302,2.75,3.16,3.14,3.48,3.41,3.41,3.06452,23,AMD
05-03-2013,2.87391,5.0,2.0,0.79302,2.75,3.47,3.47,3.8,3.6,3.6,3.06452,23,AMD
05-06-2013,2.87391,5.0,2.0,0.79302,2.75,3.72,3.53,3.75,3.61,3.61,3.06452,23,AMD
05-07-2013,2.87391,5.0,2.0,0.79302,2.75,3.65,3.44,3.669,3.54,3.54,3.06452,23,AMD
05-08-2013,2.87391,5.0,2.0,0.79302,2.75,3.54,3.47,3.85,3.83,3.83,3.06452,23,AMD
05-09-2013,2.87391,5.0,2.0,0.79302,2.75,3.91,3.83,3.99,3.86,3.86,3.06452,23,AMD
05-10-2013,2.87391,5.0,2.0,0.79302,2.75,3.79,3.79,3.97,3.95,3.95,3.06452,23,AMD
05-13-2013,2.87391,5.0,2.0,0.79302,2.75,3.95,3.94,4.22,4.17,4.17,3.06452,23,AMD
05-14-2013,2.87391,5.0,2.0,0.79302,2.75,4.31,4.18,4.32,4.26,4.26,3.06452,23,AMD
05-15-2013,2.88478,5.0,2.0,0.78608,2.75,4.29,4.26,4.42,4.38,4.38,3.03226,23,AMD
05-16-2013,2.88478,5.0,2.0,0.78608,2.75,3.9,3.66,3.94,3.83,3.83,3.03226,23,AMD
05-17-2013,2.88478,5.0,2.0,0.78608,2.75,3.93,3.9,4.095,4.07,4.07,3.03226,23,AMD
05-20-2013,2.96087,5.0,2.0,0.85134,2.75,4.18,4.07,4.2,4.1,4.1,3.03226,23,AMD
05-21-2013,3.04783,5.0,2.0,0.94759,2.75,4.15,3.95,4.2,4.02,4.02,3.03226,23,AMD
05-22-2013,3.04783,5.0,2.0,0.94759,2.75,4.08,3.91,4.1,3.96,3.96,3.03226,23,AMD
05-23-2013,3.04783,5.0,2.0,0.94759,2.75,3.81,3.79,4.05,4.01,4.01,3.03226,23,AMD
05-24-2013,3.04783,5.0,2.0,0.94759,2.75,4.03,3.97,4.06,4.05,4.05,3.03226,23,AMD
