 Date,BKNG Price Target,BKNG Price Target - High,BKNG Price Target - Low,BKNG Price Target - StdDev,BKNG Price Target - Median,BKNG Open,BKNG Low,BKNG High,BKNG Close,BKNG Adj. Close,BKNG Rating,BKNG Price Target - #,Ticker
02-05-2013,752.46154,870.0,650.0,48.23758,750.0,683.89,683.017,697.78,691.57,691.57,3.96296,26,BKNG
02-06-2013,752.46154,870.0,650.0,48.23758,750.0,693.77,690.0,704.1699,694.1,694.1,3.96296,26,BKNG
02-07-2013,752.46154,870.0,650.0,48.23758,750.0,694.1,679.65,697.46,690.69,690.69,3.96296,26,BKNG
02-08-2013,752.46154,870.0,650.0,48.23758,750.0,693.55,691.4739,702.04,700.83,700.83,3.96296,26,BKNG
02-11-2013,752.46154,870.0,650.0,48.23758,750.0,699.68,692.16,699.9999,696.11,696.11,3.96296,26,BKNG
02-12-2013,752.46154,870.0,650.0,48.23758,750.0,696.8,695.37,705.77,703.38,703.38,3.96296,26,BKNG
02-13-2013,752.46154,870.0,650.0,48.23758,750.0,703.0,698.9,708.0,704.17,704.17,3.96296,26,BKNG
02-14-2013,752.46154,870.0,650.0,48.23758,750.0,699.95,697.656,707.99,705.62,705.62,3.96296,26,BKNG
02-15-2013,752.46154,870.0,650.0,48.23758,750.0,704.2,698.5,706.226,702.26,702.26,3.96296,26,BKNG
02-19-2013,752.46154,870.0,650.0,48.23758,750.0,703.16,700.52,707.57,703.47,703.47,3.96296,26,BKNG
02-20-2013,752.46154,870.0,650.0,48.23758,750.0,705.21,687.64,707.57,688.2,688.2,3.96296,26,BKNG
02-21-2013,752.46154,870.0,650.0,48.23758,750.0,688.5,675.11,690.56,683.33,683.33,3.96296,26,BKNG
02-22-2013,752.46154,870.0,650.0,48.23758,750.0,688.5,680.92,689.9,684.7,684.7,3.96296,26,BKNG
02-25-2013,752.46154,870.0,650.0,48.23758,750.0,686.94,671.54,692.7899,671.54,671.54,3.96296,26,BKNG
02-26-2013,752.46154,870.0,650.0,48.23758,750.0,671.65,665.05,680.5,678.49,678.49,3.96296,26,BKNG
02-27-2013,800.19231,900.0,660.0,62.50417,810.0,709.05,692.0,712.5,695.91,695.91,3.96296,26,BKNG
02-28-2013,800.19231,900.0,660.0,62.50417,810.0,696.3,680.69,697.72,689.114,689.114,3.96296,26,BKNG
03-01-2013,802.37037,900.0,660.0,62.33312,820.0,689.05,683.68,698.77,695.62,695.62,4.0,27,BKNG
03-04-2013,802.37037,900.0,660.0,62.33312,820.0,694.55,692.47,714.71,714.01,714.01,4.0,27,BKNG
03-05-2013,808.85185,900.0,700.0,52.58764,820.0,716.0,715.3,723.05,718.41,718.41,4.0,27,BKNG
03-06-2013,808.85185,900.0,700.0,52.58764,820.0,721.07,717.03,728.7,718.9,718.9,4.0,27,BKNG
03-07-2013,808.85185,900.0,700.0,52.58764,820.0,722.15,716.53,723.7399,719.03,719.03,4.0,27,BKNG
03-08-2013,808.85185,900.0,700.0,52.58764,820.0,722.06,716.02,724.3,720.92,720.92,4.0,27,BKNG
03-11-2013,808.85185,900.0,700.0,52.58764,820.0,721.01,719.79,725.92,725.07,725.07,4.0,27,BKNG
03-12-2013,808.85185,900.0,700.0,52.58764,820.0,723.0,714.56,727.38,722.04,722.04,4.0,27,BKNG
03-13-2013,808.85185,900.0,700.0,52.58764,820.0,723.0,714.53,723.73,715.53,715.53,4.0,27,BKNG
03-14-2013,808.85185,900.0,700.0,52.58764,820.0,715.4,708.86,717.8,713.15,713.15,4.0,27,BKNG
03-15-2013,808.85185,900.0,700.0,52.58764,820.0,711.61,711.06,716.44,713.5,713.5,4.0,27,BKNG
03-18-2013,808.85185,900.0,700.0,52.58764,820.0,706.43,694.9,707.62,696.81,696.81,4.0,27,BKNG
03-19-2013,810.32143,900.0,700.0,52.20157,820.0,697.53,679.71,702.69,684.15,684.15,4.0,28,BKNG
03-20-2013,810.32143,900.0,700.0,52.20157,820.0,689.68,685.5301,691.22,687.584,687.584,4.0,28,BKNG
03-21-2013,814.42857,900.0,700.0,50.61368,822.5,688.44,683.508,699.49,683.99,683.99,4.07143,28,BKNG
03-22-2013,814.42857,900.0,700.0,50.61368,822.5,689.36,686.0,697.92,697.91,697.91,4.07143,28,BKNG
03-25-2013,814.42857,900.0,700.0,50.61368,822.5,700.02,693.3,703.5,695.64,695.64,4.07143,28,BKNG
03-26-2013,814.42857,900.0,700.0,50.61368,822.5,697.88,693.2401,700.0,694.59,694.59,4.07143,28,BKNG
03-27-2013,814.42857,900.0,700.0,50.61368,822.5,687.6,682.5,695.53,694.86,694.86,4.07143,28,BKNG
03-28-2013,814.42857,900.0,700.0,50.61368,822.5,694.3,686.0101,694.8,688.162,688.162,4.07143,28,BKNG
04-01-2013,814.7931,900.0,700.0,49.77077,825.0,689.08,686.811,697.92,695.76,695.76,4.1034500000000005,29,BKNG
04-02-2013,814.7931,900.0,700.0,49.77077,825.0,701.49,698.521,706.0,705.91,705.91,4.1034500000000005,29,BKNG
04-03-2013,814.7931,900.0,700.0,49.77077,825.0,706.24,697.11,707.2699,698.72,698.72,4.1034500000000005,29,BKNG
04-04-2013,814.7931,900.0,700.0,49.77077,825.0,698.0,689.0,702.13,701.35,701.35,4.1034500000000005,29,BKNG
04-05-2013,814.7931,900.0,700.0,49.77077,825.0,693.22,687.42,697.76,693.31,693.31,4.1034500000000005,29,BKNG
04-08-2013,814.7931,900.0,700.0,49.77077,825.0,691.76,688.1,696.81,696.53,696.53,4.1034500000000005,29,BKNG
04-09-2013,814.7931,900.0,700.0,49.77077,825.0,696.0,690.65,700.71,696.13,696.13,4.1034500000000005,29,BKNG
04-10-2013,814.7931,900.0,700.0,49.77077,825.0,699.05,697.24,719.71,718.94,718.94,4.1034500000000005,29,BKNG
04-11-2013,814.7931,900.0,700.0,49.77077,825.0,720.91,718.715,735.29,733.99,733.99,4.1034500000000005,29,BKNG
04-12-2013,813.53571,900.0,700.0,50.1971,822.5,732.77,722.451,745.24,743.11,743.11,4.10714,28,BKNG
04-15-2013,815.66667,900.0,700.0,49.85906,825.0,733.45,710.93,735.63,711.38,711.38,4.10714,27,BKNG
04-16-2013,815.2963,900.0,700.0,50.3799,825.0,719.62,713.481,723.31,720.7,720.7,4.10714,27,BKNG
04-17-2013,815.2963,900.0,700.0,50.3799,825.0,714.99,702.4,716.02,708.8,708.8,4.10714,27,BKNG
04-18-2013,815.2963,900.0,700.0,50.3799,825.0,707.07,683.5401,707.36,690.01,690.01,4.10714,27,BKNG
04-19-2013,815.2963,900.0,700.0,50.3799,825.0,686.93,682.31,697.9,683.57,683.57,4.10714,27,BKNG
04-22-2013,815.2963,900.0,700.0,50.3799,825.0,685.01,677.72,691.59,690.87,690.87,4.10714,27,BKNG
04-23-2013,815.2963,900.0,700.0,50.3799,825.0,692.75,692.46,707.41,702.35,702.35,4.10714,27,BKNG
04-24-2013,815.2963,900.0,700.0,50.3799,825.0,702.98,693.72,704.53,700.8,700.8,4.10714,27,BKNG
04-25-2013,814.96296,900.0,700.0,49.87873,825.0,705.0,703.5,720.5,711.22,711.22,4.10714,27,BKNG
04-26-2013,814.96296,900.0,700.0,49.87873,825.0,705.93,693.921,710.709,701.19,701.19,4.10714,27,BKNG
04-29-2013,814.96296,900.0,700.0,49.87873,825.0,704.49,697.06,709.05,699.43,699.43,4.10714,27,BKNG
04-30-2013,814.96296,900.0,700.0,49.87873,825.0,698.55,693.49,702.73,695.99,695.99,4.10714,27,BKNG
05-01-2013,814.96296,900.0,700.0,49.87873,825.0,696.56,691.1,700.0,694.06,694.06,4.10714,27,BKNG
05-02-2013,814.96296,900.0,700.0,49.87873,825.0,693.75,693.75,712.6,707.95,707.95,4.10714,27,BKNG
05-03-2013,814.96296,900.0,700.0,49.87873,825.0,717.43,716.85,728.5399,724.77,724.77,4.10714,27,BKNG
05-06-2013,814.96296,900.0,700.0,49.87873,825.0,723.5,722.7001,730.9499,726.71,726.71,4.06897,27,BKNG
05-07-2013,814.96296,900.0,700.0,49.87873,825.0,730.96,717.901,730.99,725.05,725.05,4.06897,27,BKNG
05-08-2013,814.96296,900.0,700.0,49.87873,825.0,726.22,726.11,736.0,735.27,735.27,4.06897,27,BKNG
05-09-2013,819.38462,900.0,740.0,45.33981,825.0,735.0,728.72,744.98,737.5,737.5,4.06897,26,BKNG
05-10-2013,825.46154,924.0,715.0,50.20821,835.0,742.0,742.0,769.67,765.41,765.41,4.06897,26,BKNG
05-13-2013,829.11538,924.0,715.0,47.60925,840.0,761.0,758.3701,779.25,777.44,777.44,4.1034500000000005,26,BKNG
05-14-2013,829.11538,924.0,715.0,47.60925,840.0,776.04,776.04,794.0,791.139,791.139,4.1034500000000005,26,BKNG
05-15-2013,829.11538,924.0,715.0,47.60925,840.0,790.05,789.9501,808.5133,805.75,805.75,4.1034500000000005,26,BKNG
05-16-2013,829.11538,924.0,715.0,47.60925,840.0,806.0,797.5,811.48,800.08,800.08,4.1034500000000005,26,BKNG
05-17-2013,829.11538,924.0,715.0,47.60925,840.0,805.03,802.18,814.58,813.66,813.66,4.1034500000000005,26,BKNG
05-20-2013,838.15385,924.0,740.0,44.46234,847.5,825.7,824.19,842.75,842.5,842.5,4.17241,26,BKNG
05-21-2013,842.0,924.0,740.0,45.31259,850.0,842.9,825.06,847.3299,825.96,825.96,4.17241,26,BKNG
05-22-2013,845.84615,925.0,740.0,47.8778,850.0,803.45,795.31,820.72,798.03,798.03,4.17241,26,BKNG
05-23-2013,845.84615,925.0,740.0,47.8778,850.0,789.0,784.32,805.65,803.6,803.6,4.17241,26,BKNG
05-24-2013,845.84615,925.0,740.0,47.8778,850.0,797.65,795.55,804.18,801.12,801.12,4.17241,26,BKNG
05-28-2013,845.84615,925.0,740.0,47.8778,850.0,811.8,801.31,819.99,804.33,804.33,4.17241,26,BKNG
05-29-2013,849.34615,950.0,740.0,51.8711,850.0,796.12,789.45,801.68,792.27,792.27,4.17241,26,BKNG
05-30-2013,853.19231,975.0,740.0,57.07688,850.0,795.0,792.27,816.4,807.54,807.54,4.17241,26,BKNG
05-31-2013,853.19231,975.0,740.0,57.07688,850.0,805.77,802.8675,819.98,803.93,803.93,4.17241,26,BKNG
06-03-2013,853.19231,975.0,740.0,57.07688,850.0,805.15,788.26,805.86,802.62,802.62,4.17241,26,BKNG
06-04-2013,855.88462,975.0,740.0,58.26552,855.0,800.76,794.05,811.0,798.69,798.69,4.17241,26,BKNG
06-05-2013,855.88462,975.0,740.0,58.26552,855.0,797.95,795.0,809.0,795.5,795.5,4.17241,26,BKNG
06-06-2013,855.88462,975.0,740.0,58.26552,855.0,794.85,787.0,806.03,805.9,805.9,4.17241,26,BKNG
06-07-2013,855.88462,975.0,740.0,58.26552,855.0,810.18,805.11,819.24,816.45,816.45,4.17241,26,BKNG
06-10-2013,855.88462,975.0,740.0,58.26552,855.0,819.21,815.06,825.0,823.45,823.45,4.17241,26,BKNG
06-11-2013,855.88462,975.0,740.0,58.26552,855.0,815.32,809.33,821.67,813.42,813.42,4.17241,26,BKNG
06-12-2013,855.88462,975.0,740.0,58.26552,855.0,821.48,802.67,821.58,807.9,807.9,4.17241,26,BKNG
06-13-2013,855.88462,975.0,740.0,58.26552,855.0,805.43,803.49,815.89,814.82,814.82,4.17241,26,BKNG
06-14-2013,855.88462,975.0,740.0,58.26552,855.0,812.6,810.47,817.49,815.75,815.75,4.17241,26,BKNG
06-17-2013,859.37037,975.0,740.0,59.87527,860.0,822.0,818.6005,831.09,825.54,825.54,4.17241,27,BKNG
06-18-2013,859.37037,975.0,740.0,59.87527,860.0,829.08,826.5201,839.45,834.82,834.82,4.17241,27,BKNG
06-19-2013,859.37037,975.0,740.0,59.87527,860.0,834.0,827.52,839.67,828.55,828.55,4.17241,27,BKNG
06-20-2013,859.37037,975.0,740.0,59.87527,860.0,822.5,812.445,830.38,815.69,815.69,4.17241,27,BKNG
06-21-2013,859.37037,975.0,740.0,59.87527,860.0,820.74,805.22,823.8599,813.05,813.05,4.17241,27,BKNG
06-24-2013,859.37037,975.0,740.0,59.87527,860.0,805.25,791.15,812.0,805.01,805.01,4.17241,27,BKNG
06-25-2013,859.37037,975.0,740.0,59.87527,860.0,813.68,805.03,817.55,809.57,809.57,4.17241,27,BKNG
06-26-2013,862.7037,975.0,740.0,61.19478,860.0,815.8,814.45,823.86,819.56,819.56,4.17241,27,BKNG
06-27-2013,865.48148,975.0,740.0,61.12245,860.0,825.5,819.9,828.06,822.39,822.39,4.17241,27,BKNG
06-28-2013,865.48148,975.0,740.0,61.12245,860.0,819.73,819.73,830.0,826.67,826.67,4.17241,27,BKNG
07-01-2013,865.48148,975.0,740.0,61.12245,860.0,832.0,831.11,844.99,840.735,840.735,4.17241,27,BKNG
07-02-2013,865.48148,975.0,740.0,61.12245,860.0,843.11,838.2,854.6,841.06,841.06,4.17241,27,BKNG
07-03-2013,865.48148,975.0,740.0,61.12245,860.0,836.48,836.1,847.33,845.4,845.4,4.17241,27,BKNG
07-05-2013,870.30769,975.0,760.0,57.01536,869.5,850.49,840.0,856.12,855.16,855.16,4.21429,26,BKNG
07-08-2013,879.92308,1010.0,775.0,58.65868,879.5,874.66,872.2,889.4,888.628,888.628,4.25,26,BKNG
07-09-2013,879.92308,1010.0,775.0,58.65868,879.5,891.5,880.1,900.4,897.06,897.06,4.25,26,BKNG
07-10-2013,889.0,1080.0,775.0,69.2018,900.0,894.43,886.49,897.0,892.32,892.32,4.24138,27,BKNG
07-11-2013,889.0,1080.0,775.0,69.2018,900.0,900.85,895.6,912.86,910.35,910.35,4.24138,27,BKNG
07-12-2013,889.0,1080.0,775.0,69.2018,900.0,908.71,907.48,920.92,920.39,920.39,4.24138,27,BKNG
07-15-2013,895.48148,1080.0,775.0,74.19712,900.0,922.5,910.7,926.4,911.66,911.66,4.24138,27,BKNG
07-16-2013,900.85185,1080.0,775.0,76.64188,900.0,915.0,892.14,916.1234,902.05,902.05,4.24138,27,BKNG
07-17-2013,900.85185,1080.0,775.0,76.64188,900.0,904.77,900.02,912.8,906.68,906.68,4.24138,27,BKNG
07-18-2013,900.85185,1080.0,775.0,76.64188,900.0,903.4,893.008,904.0,899.6,899.6,4.24138,27,BKNG
