 Date,INTC Price Target,INTC Price Target - High,INTC Price Target - Low,INTC Price Target - StdDev,INTC Price Target - Median,INTC Open,INTC Low,INTC High,INTC Close,INTC Adj. Close,INTC Rating,INTC Price Target - #,Ticker
02-05-2013,22.79756,29.0,16.0,3.35795,23.0,15.65651736910974,15.597342267156,15.797308193658,21.1784,15.68503102899984,3.2963,41,INTC
02-06-2013,22.79756,29.0,16.0,3.35795,23.0,15.67132965996174,15.486250085766,15.70102830312,20.99,15.545499249174,3.2963,41,INTC
02-07-2013,22.79756,29.0,16.0,3.35795,23.0,15.530686958322,15.33072103182,15.530686958322,20.81,15.412188631506,3.2963,41,INTC
02-08-2013,22.79756,29.0,16.0,3.35795,23.0,15.47884394034,15.464031649488,15.619560703434,21.0,15.552905394600002,3.2963,41,INTC
02-11-2013,22.79756,29.0,16.0,3.35795,23.0,15.552905394600002,15.493656231192002,15.597342267156,21.03,15.575123830878002,3.2963,41,INTC
02-12-2013,22.79756,29.0,16.0,3.35795,23.0,15.575123830878002,15.545499249174,15.73805903025,21.19,15.693622157694,3.2963,41,INTC
02-13-2013,22.79756,29.0,16.0,3.35795,23.0,15.715840593972,15.660294503277,15.775089757380002,21.25,15.73805903025,3.2963,41,INTC
02-14-2013,22.79756,29.0,16.0,3.35795,23.0,15.649185285138,15.597342267156,15.760277466528002,21.23,15.723246739398,3.2963,41,INTC
02-15-2013,22.79756,29.0,16.0,3.35795,23.0,15.723246739398,15.545499249174,15.775089757380002,21.115,15.638076066999,3.2963,41,INTC
02-19-2013,22.79756,29.0,16.0,3.35795,23.0,15.686216012268,15.597342267156,15.708434448546,21.085,15.615857630721,3.2963,41,INTC
02-20-2013,22.79756,29.0,16.0,3.35795,23.0,15.619560703434,15.33072103182,15.626966848860002,20.73,15.352939468098,3.2963,41,INTC
02-21-2013,22.79756,29.0,16.0,3.35795,23.0,15.3707142171204,14.901164597112002,15.375157904376,20.25,14.99744448765,3.2963,41,INTC
02-22-2013,22.79756,29.0,16.0,3.35795,23.0,15.049287505632002,14.88635230626,15.175191977874,20.42,15.123348959892002,3.2963,41,INTC
02-25-2013,22.79756,29.0,16.0,3.35795,23.0,15.234441141282002,14.982632196798,15.29369030469,20.23,14.982632196798,3.2963,41,INTC
02-26-2013,22.87073,29.0,16.0,3.27706,23.0,15.175191977874,15.115942814466,15.441813213210002,20.58,15.241847286708,3.33333,41,INTC
02-27-2013,22.87073,29.0,16.0,3.27706,23.0,15.256659577560002,15.190004268726002,15.582529976304,20.93,15.501062376618,3.33333,41,INTC
02-28-2013,22.87073,29.0,16.0,3.27706,23.0,15.486250085766,15.419594776932,15.612154558008,20.88,15.464031649488,3.33333,41,INTC
03-01-2013,22.87073,29.0,16.0,3.27706,23.0,15.397376340654,15.301096450116,15.693622157694,21.03,15.575123830878002,3.33333,41,INTC
03-04-2013,22.87073,29.0,16.0,3.27706,23.0,15.671403721416,15.523280812896,15.767683611954,21.27,15.752871321102,3.33333,41,INTC
03-05-2013,22.87073,29.0,16.0,3.27706,23.0,15.804714339084,15.775089757380002,15.989867974734,21.51,15.930618811326005,3.33333,41,INTC
03-06-2013,22.87073,29.0,16.0,3.27706,23.0,15.945431102178002,15.930618811326005,16.134287810541,21.75,16.10836630155,3.33333,41,INTC
03-07-2013,22.9425,29.0,16.0,3.28579,23.0,16.14539702868,16.10836630155,16.286113791774,21.89,16.212052337514002,3.37736,40,INTC
03-08-2013,22.9425,29.0,16.0,3.28579,23.0,16.25648921007,15.897291156909,16.323144518904,21.58,15.982461829308,3.37736,40,INTC
03-11-2013,22.9425,29.0,16.0,3.28579,23.0,15.945431102178002,15.760277466528002,16.100960156124,21.69,16.063929428994,3.37736,40,INTC
03-12-2013,22.9425,29.0,16.0,3.28579,23.0,16.041710992716002,15.88618193877,16.093554010698,21.64,16.026898701864003,3.37736,40,INTC
03-13-2013,22.9425,29.0,16.0,3.28579,23.0,15.967649538456,15.889885011483,16.07133557442,21.655,16.038007920003,3.37736,40,INTC
03-14-2013,22.9425,29.0,16.0,3.28579,23.0,16.100960156124,15.930618811326005,16.182427755810004,21.65,16.03430484729,3.37736,40,INTC
03-15-2013,22.9425,29.0,16.0,3.28579,23.0,16.004680265586,15.752871321102,16.07133557442,21.375,15.830635848075,3.37736,40,INTC
03-18-2013,22.9425,29.0,16.0,3.28579,23.0,15.730652884824,15.693622157694,15.915806520474,21.26,15.745465175676,3.37736,40,INTC
03-19-2013,22.9425,29.0,16.0,3.28579,23.0,15.745465175676,15.560311540026,15.819526629936,21.14,15.656591430564,3.37736,40,INTC
03-20-2013,22.9675,29.0,16.0,3.28233,23.0,15.782495902806,15.634372994286,15.819526629936,21.18,15.686216012268,3.37736,40,INTC
03-21-2013,22.9175,29.0,16.0,3.26618,23.0,15.560311540026,15.47884394034,15.656591430564,21.04,15.582529976304,3.37736,40,INTC
03-22-2013,22.9175,29.0,16.0,3.26618,23.0,15.66399757599,15.612154558008,15.804714339084,21.33,15.797308193658,3.37736,40,INTC
03-25-2013,22.9175,29.0,16.0,3.26618,23.0,15.841745066214,15.612154558008,15.863963502492002,21.15,15.66399757599,3.37736,40,INTC
03-26-2013,22.9175,29.0,16.0,3.26618,23.0,15.760277466528002,15.73805903025,16.123178592402,21.765,16.119475519689,3.37736,40,INTC
03-27-2013,22.9175,29.0,16.0,3.26618,23.0,16.012086411012003,15.930618811326005,16.275004573635,21.83,16.167615464958,3.37736,40,INTC
03-28-2013,22.9175,29.0,16.0,3.26618,23.0,16.182427755810004,15.993571047447,16.226864628366002,21.835,16.171318537671002,3.37736,40,INTC
04-01-2013,22.83846,29.0,16.0,3.2698,23.0,16.049117138142,15.789902048232,16.07133557442,21.43,15.871369647918,3.35849,39,INTC
04-02-2013,22.83846,29.0,16.0,3.2698,23.0,15.938024956752,15.789902048232,15.982461829308,21.455,15.889885011483,3.35849,39,INTC
04-03-2013,22.81282,29.0,16.0,3.30355,23.0,15.88618193877,15.560311540026,15.9232126659,21.05,15.589936121730002,3.35849,39,INTC
04-04-2013,22.81282,29.0,16.0,3.30355,23.0,15.589936121730002,15.523280812896,15.693622157694,21.135,15.652888357851,3.35849,39,INTC
04-05-2013,22.81282,29.0,16.0,3.30355,23.0,15.508468522044002,15.36775175895,15.530686958322,20.94,15.508468522044002,3.35849,39,INTC
04-08-2013,22.81282,29.0,16.0,3.30355,23.0,15.471437794914,15.404782486080002,15.619560703434,21.09,15.619560703434,3.35849,39,INTC
04-09-2013,22.81282,29.0,16.0,3.30355,23.0,15.634372994286,15.597342267156,16.212052337514002,21.75,16.10836630155,3.32075,39,INTC
04-10-2013,22.81282,29.0,16.0,3.30355,23.0,16.086147865272,16.078741719846,16.604578045092,22.26,16.486079718276002,3.32075,39,INTC
04-11-2013,22.81282,29.0,16.0,3.30355,23.0,16.093554010698,15.915806520474,16.226864628366002,21.825,16.163912392245,3.32075,39,INTC
04-12-2013,22.78718,29.0,16.0,3.2747,23.0,16.097257083411,15.900994229622,16.14539702868,21.675,16.052820210855,3.28302,39,INTC
04-15-2013,22.78718,29.0,16.0,3.2747,23.0,15.9232126659,15.819526629936,16.078741719846,21.38,15.834338920788,3.28302,39,INTC
04-16-2013,22.78718,29.0,16.0,3.2747,23.0,15.900994229622,15.863963502492002,16.241676919218,21.915,16.230567701079,3.28302,39,INTC
04-17-2013,22.88205,29.0,16.0,3.1914,23.0,16.137990883254,15.975055683882,16.397205973164002,21.93,16.241676919218,3.36538,39,INTC
04-18-2013,22.88205,29.0,16.0,3.1914,23.0,16.33055066433,16.21945848294,16.58976575424,22.24,16.471267427424,3.36538,39,INTC
04-19-2013,22.88205,29.0,16.0,3.1914,23.0,16.493485863702002,16.449048991146,16.62679648137,22.44,16.619390335944,3.36538,39,INTC
04-22-2013,22.88205,29.0,16.0,3.1914,23.0,16.649014917648,16.552735027110003,16.989697607244,22.88,16.945260734688,3.36538,39,INTC
04-23-2013,22.88205,29.0,16.0,3.1914,23.0,17.019322188948003,16.982291461818,17.36741102397,23.375,17.311864933275,3.36538,39,INTC
04-24-2013,22.87436,29.0,16.0,3.19027,23.0,17.241506551728,17.215585042737,17.619219968454,23.66,17.522940077916,3.36538,39,INTC
04-25-2013,22.87436,29.0,16.0,3.19027,23.0,17.51553393249,17.271131133432,17.678469131862002,23.38,17.315568005988,3.36538,39,INTC
04-26-2013,22.87436,29.0,16.0,3.19027,23.0,17.263724988006,17.137820515764002,17.448878623656,23.4,17.33038029684,3.36538,39,INTC
04-29-2013,22.87436,29.0,16.0,3.19027,23.0,17.360004878544,17.33038029684,17.648844550158,23.76,17.597001532176,3.36538,39,INTC
04-30-2013,22.87436,29.0,16.0,3.19027,23.0,17.567376950472,17.508127787064,17.7747490224,23.95,17.73771829527,3.36538,39,INTC
05-01-2013,22.87436,29.0,16.0,3.19027,23.0,17.641438404732,17.634032259306,17.900653494642,23.99,17.767342876974,3.36538,39,INTC
05-02-2013,22.99231,29.0,16.0,3.18533,23.0,17.574783095898002,17.530346223342,17.88584120379,24.11,17.856216622086002,3.34615,39,INTC
05-03-2013,23.04359,29.0,16.0,3.24881,23.0,18.106659685058,17.904810051905,18.106659685058,23.96,17.912285964244003,3.34615,39,INTC
05-06-2013,23.2925,29.0,16.0,3.42158,23.1,18.069280123363,17.830050928515004,18.099183772719,23.91,17.874906402549,3.39623,40,INTC
05-07-2013,23.3925,29.0,16.0,3.49838,23.1,17.919761876583,17.897334139566002,18.129087422075003,24.15,18.054328298685,3.39623,40,INTC
05-08-2013,23.3925,29.0,16.0,3.49838,23.1,17.972093262956,17.912360723367392,18.158991071431,24.25,18.129087422075003,3.39623,40,INTC
05-09-2013,23.4425,29.0,16.0,3.52093,23.1,18.088717495444403,18.016948736990003,18.368316616923,24.36,18.211322457804,3.39623,40,INTC
05-10-2013,23.4425,29.0,16.0,3.52093,23.1,18.256177931838003,18.203846545465,18.345888879906,24.5,18.31598523055,3.39623,40,INTC
05-13-2013,23.4425,29.0,16.0,3.52093,23.1,18.248702019499,17.964617350617,18.308509318211,24.08,18.001996912312,3.39623,40,INTC
05-14-2013,23.4425,29.0,16.0,3.52093,23.1,18.001996912312,17.777719542142002,18.069280123363,23.84,17.822575016176,3.39623,40,INTC
05-15-2013,23.4425,29.0,16.0,3.52093,23.1,17.859954577871,17.800147279159,18.09170786038,24.2,18.09170786038,3.39623,40,INTC
05-16-2013,23.4425,29.0,16.0,3.52093,23.1,17.987045087634,17.889858227227002,18.24122610716,23.94,17.897334139566002,3.39623,40,INTC
05-17-2013,23.4175,29.0,16.0,3.5698,23.1,18.031900561668003,17.86743049021,18.106659685058,24.04,17.972093262956,3.37736,40,INTC
05-20-2013,23.4175,29.0,16.0,3.5698,23.1,18.001996912312,17.9421896136,18.129087422075003,24.08,18.001996912312,3.37736,40,INTC
05-21-2013,23.4175,29.0,16.0,3.5698,23.1,18.016948736990003,17.9421896136,18.129087422075003,24.15,18.054328298685,3.41509,40,INTC
05-22-2013,23.4675,29.0,16.0,3.61928,23.1,18.039376474007,17.897334139566002,18.338412967567,24.07,17.994520999973002,3.41509,40,INTC
