 Date,NKE Price Target,NKE Price Target - High,NKE Price Target - Low,NKE Price Target - StdDev,NKE Price Target - Median,NKE Open,NKE Low,NKE High,NKE Close,NKE Adj. Close,NKE Rating,NKE Price Target - #,Ticker
02-05-2013,27.03612,30.7225,24.0,2.07913,26.75,24.138774379773,24.102973453737,24.3043536626895,26.945,24.1163988010005,3.6,20,NKE
02-06-2013,27.03612,30.7225,24.0,2.07913,26.75,24.022421370156,23.941869286575,24.331204357216496,27.08,24.237226926372,3.6,20,NKE
02-07-2013,27.03612,30.7225,24.0,2.07913,26.75,24.268552736653497,24.196950884581497,24.487833408624,27.34,24.469932945606,3.6,20,NKE
02-08-2013,27.03612,30.7225,24.0,2.07913,26.75,24.420706672306498,24.380430630516,24.698163849085496,27.295,24.4296569038155,3.6,20,NKE
02-11-2013,27.41536,32.0,24.0,2.23457,27.5,24.738439890876,24.492308524378497,25.015897067655,27.61,24.711589196349,3.61538,21,NKE
02-12-2013,27.41536,32.0,24.0,2.23457,27.5,24.568385492205,24.5191592189055,24.7071140805945,27.545,24.6534126915405,3.61538,21,NKE
02-13-2013,27.41536,32.0,24.0,2.23457,27.5,24.6265619970135,24.349104820234498,24.778715932666497,27.28,24.416231556552,3.61538,21,NKE
02-14-2013,27.41536,32.0,24.0,2.23457,27.5,24.420706672306498,24.308828778444,24.608661533995495,27.31,24.443082251079,3.61538,21,NKE
02-15-2013,27.41536,32.0,24.0,2.23457,27.5,24.4744080613605,24.398331093534,24.675788270313,27.475,24.5907610709775,3.61538,21,NKE
02-19-2013,27.41536,32.0,24.0,2.23457,27.5,24.563910376450497,24.2954034311805,24.684738501822,27.235,24.375955514761497,3.61538,21,NKE
02-20-2013,27.41536,32.0,24.0,2.23457,27.5,24.34462970448,24.1611499585455,24.460982714097,27.01,24.174575305809,3.61538,21,NKE
02-21-2013,27.67726,32.0,24.0,2.31558,27.5,24.5370596819235,24.219326463354,24.631037112768,27.27,24.407281325043,3.69231,21,NKE
02-22-2013,27.67726,32.0,24.0,2.31558,27.5,24.43413201957,24.1656250743,24.559435260696,27.235,24.375955514761497,3.69231,21,NKE
02-25-2013,27.68917,32.0,24.0,2.32169,27.5,24.407281325043,24.183525537318,24.61089909187275,27.02,24.183525537318,3.74074,21,NKE
02-26-2013,27.68917,32.0,24.0,2.32169,27.5,24.349104820234498,24.138774379773,24.496783640133,27.135,24.2864531996715,3.74074,21,NKE
02-27-2013,27.68917,32.0,24.0,2.32169,27.5,24.237226926372,24.147724611282,24.39609353565675,27.17,24.317779009953,3.74074,21,NKE
02-28-2013,27.68917,32.0,24.0,2.32169,27.5,24.376181213949,24.2593768071,24.582835164528,27.23,24.466030757679,3.74074,21,NKE
03-01-2013,27.68917,32.0,24.0,2.32169,27.5,24.448060848933,24.340241396457,24.6322524135795,27.41,24.627759936393,3.74074,21,NKE
