 Date,TSLA Price Target,TSLA Price Target - High,TSLA Price Target - Low,TSLA Price Target - StdDev,TSLA Price Target - Median,TSLA Open,TSLA Low,TSLA High,TSLA Close,TSLA Adj. Close,TSLA Rating,TSLA Price Target - #,Ticker
02-05-2013,2.44762,3.33333,1.26667,0.5471,2.5,2.533333,2.512,2.576666,2.542,2.542,3.53333,14,TSLA
02-06-2013,2.44762,3.33333,1.26667,0.5471,2.5,2.545333,2.526966,2.626,2.611333,2.611333,3.53333,14,TSLA
02-07-2013,2.44762,3.33333,1.26667,0.5471,2.5,2.612666,2.596666,2.645333,2.632,2.632,3.53333,14,TSLA
02-08-2013,2.44762,3.33333,1.26667,0.5471,2.5,2.63,2.609333,2.666666,2.616,2.616,3.53333,14,TSLA
02-11-2013,2.49048,3.33333,1.26667,0.5649,2.53333,2.532,2.5,2.61,2.561333,2.561333,3.53333,14,TSLA
02-12-2013,2.49048,3.33333,1.26667,0.5649,2.53333,2.563333,2.486,2.591333,2.526,2.526,3.53333,14,TSLA
02-13-2013,2.5381,3.33333,1.26667,0.5776,2.66666,2.553333,2.536666,2.6,2.563333,2.563333,3.53333,14,TSLA
02-14-2013,2.5381,3.33333,1.26667,0.5776,2.66666,2.576,2.547333,2.583333,2.553333,2.553333,3.53333,14,TSLA
02-15-2013,2.5381,3.33333,1.26667,0.5776,2.66666,2.566666,2.463333,2.567333,2.469333,2.469333,3.53333,14,TSLA
02-19-2013,2.5381,3.33333,1.26667,0.5776,2.66666,2.490666,2.487333,2.619333,2.618666,2.618666,3.53333,14,TSLA
02-20-2013,2.5381,3.33333,1.26667,0.5776,2.66666,2.62,2.564,2.643333,2.569333,2.569333,3.53333,14,TSLA
02-21-2013,2.58571,3.33333,1.26667,0.55901,2.66666,2.432666,2.302666,2.492666,2.344,2.344,3.46667,14,TSLA
02-22-2013,2.60238,3.33333,1.26667,0.53844,2.66666,2.381333,2.373333,2.426,2.407333,2.407333,3.46667,14,TSLA
02-25-2013,2.60238,3.33333,1.26667,0.53844,2.66666,2.41,2.289333,2.45,2.292,2.292,3.46667,14,TSLA
02-26-2013,2.60238,3.33333,1.26667,0.53844,2.66666,2.297333,2.253333,2.330666,2.295333,2.295333,3.46667,14,TSLA
02-27-2013,2.60238,3.33333,1.26667,0.53844,2.66666,2.294,2.293333,2.360666,2.34,2.34,3.46667,14,TSLA
02-28-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.392666,2.291333,2.406666,2.322,2.322,3.5625,15,TSLA
03-01-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.333333,2.283333,2.338666,2.31,2.31,3.5625,15,TSLA
03-04-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.318,2.313333,2.388666,2.372,2.372,3.5625,15,TSLA
03-05-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.4,2.386,2.461333,2.443333,2.443333,3.5625,15,TSLA
03-06-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.467333,2.464666,2.525333,2.512666,2.512666,3.5625,15,TSLA
03-07-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.515333,2.458666,2.576666,2.548666,2.548666,3.5625,15,TSLA
03-08-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.537333,2.490666,2.629333,2.564666,2.564666,3.5625,15,TSLA
03-11-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.591333,2.576666,2.629333,2.606666,2.606666,3.5625,15,TSLA
03-12-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.593333,2.59,2.625333,2.608,2.608,3.5625,15,TSLA
03-13-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.6,2.587333,2.632666,2.598666,2.598666,3.5625,15,TSLA
03-14-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.593333,2.451333,2.594,2.456666,2.456666,3.5625,15,TSLA
03-15-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.442666,2.347333,2.443333,2.352666,2.352666,3.5625,15,TSLA
03-18-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.353333,2.328,2.404,2.343333,2.343333,3.5625,15,TSLA
03-19-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.35,2.329333,2.373333,2.338666,2.338666,3.5625,15,TSLA
03-20-2013,2.61555,3.33333,1.26667,0.52251,2.8,2.350666,2.344,2.404666,2.396666,2.396666,3.5625,15,TSLA
03-21-2013,2.7119,3.33333,2.0,0.3915,2.8,2.396666,2.382666,2.470666,2.400666,2.400666,3.73333,14,TSLA
03-22-2013,2.7119,3.33333,2.0,0.3915,2.8,2.413333,2.413333,2.453333,2.441333,2.441333,3.73333,14,TSLA
03-25-2013,2.7119,3.33333,2.0,0.3915,2.8,2.473333,2.451333,2.568,2.502,2.502,3.73333,14,TSLA
03-26-2013,2.7119,3.33333,2.0,0.3915,2.8,2.532,2.510666,2.548,2.524,2.524,3.73333,14,TSLA
03-27-2013,2.7119,3.33333,2.0,0.3915,2.8,2.529333,2.487333,2.558666,2.544,2.544,3.73333,14,TSLA
03-28-2013,2.7119,3.33333,2.0,0.3915,2.8,2.548666,2.516666,2.549333,2.526,2.526,3.73333,14,TSLA
04-01-2013,2.72619,3.33333,2.03333,0.36822,2.8,2.824,2.78,3.112,2.928666,2.928666,3.73333,14,TSLA
04-02-2013,2.72619,3.33333,2.03333,0.36822,2.8,2.906666,2.900673,3.033333,2.956,2.956,3.73333,14,TSLA
04-03-2013,2.81666,3.33333,2.03333,0.40566,3.0,2.873333,2.6807,2.898,2.74,2.74,3.73333,14,TSLA
04-04-2013,2.81666,3.33333,2.03333,0.40566,3.0,2.740666,2.720733,2.816666,2.800666,2.800666,3.73333,14,TSLA
04-05-2013,2.81666,3.33333,2.03333,0.40566,3.0,2.8,2.7,2.8,2.758,2.758,3.73333,14,TSLA
04-08-2013,2.81666,3.33333,2.03333,0.40566,3.0,2.798,2.767333,2.83666,2.788666,2.788666,3.73333,14,TSLA
04-09-2013,2.81666,3.33333,2.03333,0.40566,3.0,2.786666,2.688666,2.78866,2.7,2.7,3.73333,14,TSLA
04-10-2013,2.81666,3.33333,2.03333,0.40566,3.0,2.713333,2.707333,2.800666,2.790666,2.790666,3.73333,14,TSLA
