 Date,XOM Price Target,XOM Price Target - High,XOM Price Target - Low,XOM Price Target - StdDev,XOM Price Target - Median,XOM Open,XOM Low,XOM High,XOM Close,XOM Adj. Close,XOM Rating,XOM Price Target - #,Ticker
02-05-2013,95.10526,105,85.0,5.0876,96.0,58.849436356956,58.548248765454005,59.052410603403,89.74,58.757770568238,3.65217,19,XOM
02-06-2013,95.10526,105,85.0,5.0876,96.0,58.515510983769005,56.69365343299875,58.855983913293,89.79,58.790508349923,3.65217,19,XOM
02-07-2013,95.10526,105,85.0,5.0876,96.0,58.783918955883,57.729617080203,58.790508342606,88.25,58.151337830475,3.65217,19,XOM
02-08-2013,95.10526,105,85.0,5.0876,96.0,58.31607249855,58.05908641635301,58.51375410024,88.61,58.388555752503,3.65217,19,XOM
02-11-2013,95.10526,105,85.0,5.0876,96.0,58.217231697705,57.966835002231,58.32266188527301,88.28,58.171105990644,3.65217,19,XOM
02-12-2013,95.10526,105,85.0,5.0876,96.0,58.151337830475,57.93388806861601,58.395145139226,88.46,58.289714951658,3.65217,19,XOM
02-13-2013,95.10526,105,85.0,5.0876,96.0,58.289714951658,58.144748443752,58.493985940071,88.67,58.42809207284101,3.65217,19,XOM
02-14-2013,95.10526,105,85.0,5.0876,96.0,58.210642310982,58.026139482738,58.52034348696301,88.52,58.329251271996,3.65217,19,XOM
02-15-2013,95.10526,105,85.0,5.0876,96.0,58.362198205611,57.85481542794,58.388555752503,88.36,58.223821084428,3.65217,19,XOM
02-19-2013,95.10526,105,85.0,5.0876,96.0,58.34243004544201,58.236999857874,58.915706690343,89.32,58.856402209836,3.65217,19,XOM
02-20-2013,95.10526,105,85.0,5.0876,96.0,58.737793248822,58.57964796747001,59.185871545986,88.97,58.62577367453101,3.65217,19,XOM
02-21-2013,95.10526,105,85.0,5.0876,96.0,58.50716471351701,58.223821084428,58.6574027308014,88.59,58.375376979057,3.65217,19,XOM
02-22-2013,95.1,105,85.0,4.95883,95.5,58.658720608146,58.2534733246815,58.830044662944005,89.2,58.77732956916,3.625,20,XOM
02-25-2013,95.1,105,85.0,4.95883,95.5,59.225407866324,57.78892156071,59.4303377934093,87.7,57.78892156071,3.625,20,XOM
02-26-2013,95.1,105,85.0,4.95883,95.5,58.31607249855,57.828457881048,58.632363061254,88.51,58.32266188527301,3.625,20,XOM
02-27-2013,95.1,105,85.0,4.95883,95.5,58.31607249855,58.190874150813,59.07385197169501,89.53,58.99477933101901,3.625,20,XOM
02-28-2013,95.1,105,85.0,4.95883,95.5,59.08703074514101,58.665309994869006,59.179282159263,89.55,59.00795810446501,3.625,20,XOM
03-01-2013,95.1,105,85.0,4.95883,95.5,58.691667541761,58.592826740916,59.09362013186401,89.43,58.92888546378901,3.625,20,XOM
03-04-2013,95.1,105,85.0,4.95883,95.5,58.731203862099,58.289714951658,58.81027650277501,88.95,58.61259490108501,3.625,20,XOM
03-05-2013,95.1,105,85.0,4.95883,95.5,58.961832397404,58.8333393563055,59.403321307845005,89.61,59.047494424803006,3.625,20,XOM
03-06-2013,95.1,105,85.0,4.95883,95.5,59.04090503808,58.678488768315,59.27153357338501,89.56,59.014547491188,3.625,20,XOM
03-07-2013,95.2381,106,85.0,4.95604,96.0,59.060673198249,58.434681459564,59.14633522564801,88.71,58.454449619733,3.625,21,XOM
03-08-2013,95.09524,106,85.0,4.88832,96.0,58.652131221423005,58.217231697705,58.797097729329,88.97,58.62577367453101,3.625,21,XOM
03-11-2013,95.09524,106,85.0,4.88832,96.0,58.652131221423005,58.343747922786605,59.00795810446501,89.16,58.750972022268,3.625,21,XOM
03-12-2013,95.09524,106,85.0,4.88832,96.0,58.942064237235,58.652131221423005,59.245176026493,89.16,58.750972022268,3.625,21,XOM
03-13-2013,95.09524,106,85.0,4.88832,96.0,58.658720608146,58.533522260409,58.97501117085,89.26,58.816865889498,3.625,21,XOM
03-14-2013,95.09524,106,85.0,4.88832,96.0,58.915706690343,58.915706690343,59.245176026493,89.83,59.19246093270901,3.625,21,XOM
03-15-2013,95.09524,106,85.0,4.88832,96.0,58.77732956916,58.50716471351701,59.047494424803006,89.37,58.88934914345101,3.625,21,XOM
03-18-2013,95.09524,106,85.0,4.88832,96.0,58.474217779902,58.349019432165,58.902527916897,88.77,58.493985940071,3.625,21,XOM
03-19-2013,95.09524,106,85.0,4.88832,96.0,58.573058580747,57.99984782971323,58.70484631520701,88.58,58.368787592334,3.625,21,XOM
03-20-2013,95.09524,106,85.0,4.88832,96.0,58.61259490108501,58.18428476409,58.783918955883,88.63,58.401734525949,3.625,21,XOM
03-21-2013,95.09524,106,85.0,4.88832,96.0,58.065675803076005,57.920709295170006,58.408323912672,88.17,58.098622736691006,3.625,21,XOM
03-22-2013,95.09524,106,85.0,4.88832,96.0,58.25017863132,58.197463537536,58.836634049667005,89.29,58.836634049667005,3.625,21,XOM
03-25-2013,95.35,106,85.0,4.87109,96.0,58.97501117085,58.421502686118,59.238586639770006,89.02,58.658720608146,3.65217,20,XOM
03-26-2013,95.35,106,85.0,4.87109,96.0,58.915706690343,58.882759756728,59.50216210869,90.13,59.390142534399,3.65217,20,XOM
03-27-2013,95.35,106,85.0,4.87109,96.0,59.014547491188,58.955243010681,59.7888004311405,90.58,59.686664936934,3.65217,20,XOM
03-28-2013,95.35,106,85.0,4.87109,96.0,59.726201257272,59.297891120277,59.950240405854,90.11,59.37696376095301,3.65217,20,XOM
04-01-2013,95.65,106,85.0,4.77781,96.0,59.390142534399,59.29130173355401,59.9535350992155,90.77,59.811863284671,3.69565,20,XOM
04-02-2013,95.65,106,85.0,4.77781,96.0,59.693254323657,59.488983335244,59.910704085516,90.58,59.686664936934,3.6087,20,XOM
04-03-2013,95.65,106,85.0,4.77781,96.0,59.73279064399501,59.212229092878005,59.851399605009,89.93,59.258354799939006,3.6087,20,XOM
04-04-2013,95.65,106,85.0,4.77781,96.0,59.37037437423,58.7938030359675,59.521930268859,89.77,59.152924612371,3.6087,20,XOM
04-05-2013,95.65,106,85.0,4.77781,96.0,58.388555752503,58.25017863132,58.783918955883,89.01,58.652131221423005,3.6087,20,XOM
04-08-2013,95.65,106,85.0,4.77781,96.0,58.718025088653,58.08550985711223,58.718025088653,88.6,58.38196636578,3.6087,20,XOM
04-09-2013,95.65,106,85.0,4.77781,96.0,58.44127084628701,58.375376979057,58.869580983282006,88.77,58.493985940071,3.6087,20,XOM
04-10-2013,95.4,106,85.0,5.18073,96.0,58.283125564935006,58.11839089686001,58.750972022268,88.68,58.434681459564,3.52174,20,XOM
04-11-2013,95.4,106,85.0,5.18073,96.0,58.61259490108501,58.13815905702901,58.823455276221,89.22,58.790508342606,3.52174,20,XOM
04-12-2013,95.1,106,85.0,5.25262,96.0,58.566469194024,58.256768018043,58.770740182437,88.99,58.638952447977,3.52174,20,XOM
