 Date,Price Target,Price Target - High,Price Target - Low,Price Target - StdDev,Price Target - Median,Open,Low,High,Close,Adj. Close,Rating,Price Target - #,Ticker,15-day Correlation,30-day Correlation,60-day Correlation,90-day Correlation,1-day Close Change,2-day Close Change,3-day Close Change,5-day Close Change,10-day Close Change,20-day Close Change,30-day Close Change,60-day Close Change,180-day Close Change,1-day Price Target - High Change,2-day Price Target - High Change,3-day Price Target - High Change,5-day Price Target - High Change,10-day Price Target - High Change,20-day Price Target - High Change,30-day Price Target - High Change,1-day Price Target - Low Change,2-day Price Target - Low Change,3-day Price Target - Low Change,5-day Price Target - Low Change,10-day Price Target - Low Change,20-day Price Target - Low Change,30-day Price Target - Low Change,1-day Price Target Count Change,2-day Price Target Count Change,3-day Price Target Count Change,5-day Price Target Count Change,10-day Price Target Count Change,20-day Price Target Count Change,30-day Price Target Count Change,5-day Avg Analyst Rating Change,10-day Avg Analyst Rating Change,20-day Avg Analyst Rating Change,30-day Avg Analyst Rating Change,60-day Avg Analyst Rating Change,5-day Avg Analyst Price Target Change,10-day Avg Analyst Price Target Change,20-day Avg Analyst Price Target Change,30-day Avg Analyst Price Target Change,60-day Avg Analyst Price Target Change,1-day Future Close Change,2-day Future Close Change,3-day Future Close Change,5-day Future Close Change,10-day Future Close Change,20-day Future Close Change,30-day Future Close Change,60-day Future Close Change
02-05-2013,34.96294,40,29.0,2.87491,35.0,27.859536723392,27.83472122156,28.11604629399544,33.84,27.991886066496004,3.46154,17,ABT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007624633431084993,-0.01599302122710078,-0.0165649520488228,-0.01341107871720093,-0.01969872537659323,-0.012547417566384556,0.0008873114463177068,-0.08688613059902861
02-06-2013,34.96294,40,29.0,2.87491,35.0,27.851264889448,27.851264889448,28.322759424256,34.1,28.20695374904,3.46154,17,ABT,,,,,0.0076832151300236795,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,-0.008432683919744055,-0.009009009009008917,-0.004670169293636839,-0.010446894950667418,-0.004670169293636839,-0.009584664536741117,0.0185185185185186,-0.07336956521739124
02-07-2013,35.085,40,29.0,2.92034,35.0,28.322759424256,28.149050911432,28.446836933416,34.39,28.446836933416,3.48,16,ABT,,,,,0.008504398826979509,0.01625295508274216,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,-0.05882352941176472,-0.05882352941176472,,,,,,,,,,,,,,,,-0.00058122638767788,0.003794512551080098,0.0026239067055393583,-0.008933717579250766,-0.0046309696092617925,-0.008362168396770397,0.020777678836449986,-0.040725244072524425
02-08-2013,35.085,40,29.0,2.92034,35.0,28.446836933416,28.364118593976,28.670176449904,34.41,28.463380601304,3.48,16,ABT,,,,,0.0005815644082580729,0.009090909090909038,0.016843971631205434,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,-0.05882352941176472,-0.05882352941176472,,,,,,,,,,,,,,,0.004378283712784592,0.00320699708454808,-0.0014509576320372863,-0.01909920182440139,0.004085205719287721,-0.014886916690523999,0.01804733727810648,-0.045757071547421146
02-11-2013,35.085,40,29.0,2.92034,35.0,28.471652435248,28.322759424256,28.529555272856,34.26,28.339303092144,3.48,16,ABT,,,,,-0.0043591979075849885,-0.003780168653678473,0.004692082111436902,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,-0.05882352941176472,,,,,,,,,,,,,,,-0.0011661807580174433,-0.005803830528148701,-0.012680115273775328,-0.016082711085583012,0.005871990604814803,-0.020583190394511064,-0.0026200873362446364,-0.05593827500688897
02-12-2013,35.085,40,29.0,2.92034,35.0,28.347574926088,28.297943922424,28.5378271068,34.3,28.37239042792,3.48,16,ABT,,,,,0.0011675423234092097,-0.0031967451322290064,-0.002617039837162105,0.013593380614657091,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,-0.05882352941176472,,,,0.005332886518717217,,,,,0.0,,,,,-0.004643064422518939,-0.011527377521614035,-0.022234891676168766,-0.006373117033603881,0.0011675423234092097,-0.020279920022850617,-0.008956948858711455,-0.05196241017136549
02-13-2013,35.37412,40,29.0,3.06009,35.0,28.364118593976,28.3310312582,28.604001778352,34.46,28.504739771024,3.53846,17,ABT,,,,,0.004664723032069995,0.005837711617046271,0.0014530659691951442,0.010557184750733084,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0625,0.0625,0.0625,0.0,,,,0.022221323457189746,,,,,0.0,,,,,-0.00691642651296831,-0.01767388825541616,-0.010338885697874778,0.005837711617046271,0.019828351583308645,-0.019351166761525374,-0.024348810872027116,-0.04727674868675702
02-14-2013,35.37412,40,29.0,3.06009,35.0,28.355846760032,28.355846760032,28.7446229554,34.7,28.70326378568,3.53846,17,ABT,,,,,0.006964596633778353,0.011661807580175099,0.012842965557501529,0.009014248328002461,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0625,0.0625,0.0625,,,,0.016798850574712754,,,,,0.0,,,,,-0.010832383124287248,-0.003446295232624852,0.005214368482039378,0.004341534008683201,0.032738095238095344,0.016403046280023537,-0.01727555933163405,-0.0453920220082531
02-15-2013,35.37412,40,29.0,3.06009,35.0,28.819069460896003,28.76530254026,29.03413714344,35.08,29.017593475552,3.53846,17,ABT,,,,,0.010951008645533111,0.017991874637260485,0.022740524781341254,0.019471083987212978,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0625,0.0625,,,,0.016798850574712754,,,,,0.0,,,,,0.0074669730040206606,0.016222479721900163,0.023934617629889132,0.02363583309016626,0.02244243660740297,0.04841601912731619,-0.02879291251384275,-0.053171390013495246
02-19-2013,35.37412,40,29.0,3.06009,35.0,29.100311814992,28.7446229554,29.191301988376,34.82,28.802525793008,3.53846,17,ABT,,,,,-0.007411630558722848,0.0034582132564839885,0.010446894950667529,0.016345592527729158,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0625,,,,0.016798850574712754,,,,,0.0,,,,,0.008690614136732222,0.016345592527729158,0.007814761215629629,0.022313564298297006,0.004326507066628071,0.038163387000596405,-0.041299559471365654,-0.07541157727031322
02-20-2013,35.37412,40,29.0,3.06009,35.0,28.70326378568,28.546098940744,28.843884962728,34.52,28.554370774688003,3.53846,17,ABT,,,,,-0.00861573808156224,-0.015963511972633793,-0.005187319884726205,0.006413994169096382,0.02009456264775422,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0625,0.0,,,0.016798850574712754,0.022221323457189746,,,,0.0,0.0,,,,0.007589025102160196,-0.0008683068017364404,0.0072950102130142636,0.007589025102160196,0.0072950102130142636,0.020999704229518024,-0.05811732605729869,-0.06272060819983694
02-21-2013,35.37412,40,29.0,3.06009,35.0,28.513011604968,28.235905167844,28.529555272856,34.26,28.339303092144,3.53846,17,ABT,,,,,-0.007531865585168163,-0.016082711085583012,-0.023375142531356863,-0.005803830528148701,0.004692082111436902,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.022221323457189746,,,,0.0,0.0,,,,-0.008393632416787256,-0.000291800408520726,0.005871990604814803,0.013909440662917882,-0.004937554458321336,0.023297491039426577,-0.056458275957036785,-0.06367860071057685
02-22-2013,35.37412,40,29.0,3.06009,35.0,28.273128420592,28.132507243544,28.57918627652,34.55,28.57918627652,3.53846,17,ABT,,,,,0.008464681844716937,0.0008690614136730446,-0.007754164273406139,-0.004322766570605374,0.004652515266065693,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0625,,,0.0,0.016798850574712754,,,,0.0,0.0,,,,0.008170411438575886,0.014386376981796678,0.008464681844716937,0.028273809523809312,-0.003748558246828182,0.025526862570495634,-0.05471956224350205,-0.08622057656704585
02-25-2013,35.37412,40,29.0,3.06009,35.0,28.62054544624,28.3310312582,28.819069460896003,34.27,28.347574926088,3.53846,17,ABT,,,,,-0.00810419681620822,0.00029188558085246896,-0.007242178447276926,-0.023090079817559728,-0.004068584713745826,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0625,,,0.0,0.016798850574712754,,,,0.0,0.0,,,,0.0061655901350559095,0.00029188558085246896,0.014205386208937743,-0.0011658408627222006,-0.01889493272258791,0.013905325443787087,-0.06519367157665013,-0.0914634146341462
02-26-2013,35.37412,40,29.0,3.06009,35.0,28.430293265528,28.074604405936,28.488196103136,34.06,28.173866413264,3.53846,17,ABT,0.5701051725367186,,,,-0.006127808578932026,-0.014182344428364524,-0.005837711617046049,-0.021826536473291136,-0.005837711617046049,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0625,,,0.0,0.016798850574712754,,,,0.0,0.0,,,,-0.005837711617046049,0.007990529742527563,0.013690476190476142,-0.01759446207095472,-0.02630074328187526,-0.008442503639010113,-0.08194070080862537,-0.09703075291622476
02-27-2013,35.37412,40,29.0,3.06009,35.0,28.16559457932,28.00015790044,28.49646793708,34.26,28.339303092144,3.53846,17,ABT,0.400188259773708,,,,0.005871990604814803,-0.000291800408520726,-0.008393632416787256,-0.007531865585168163,-0.0011661807580174433,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0625,,,0.0,0.016798850574712754,,,,0.0,0.0,,,,0.013909440662917882,0.019642857142857073,-0.0014573010784029172,-0.000291800408520726,-0.02142245072836335,-0.0101126841953193,-0.08076200697612035,-0.08591248665955176
02-28-2013,35.37412,40,29.0,3.06009,35.0,28.380662261864003,27.950526896776,28.422021431584,33.79,27.950526896776,3.53846,17,ABT,0.13844767601458627,,,,-0.01371862230005838,-0.00792718731650044,-0.01400641960898752,-0.01371862230005838,-0.019442832269297772,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.005654761904761774,-0.015155931215389162,-0.02538217479088556,-0.0185884403136799,-0.03841775754126353,-0.043318233295583264,-0.08995421492054956,-0.10513771186440679
03-01-2013,35.37412,40,29.0,3.06009,35.0,27.867808557336,27.75200288212,28.049788904104,33.6,27.793362051840003,3.53846,17,ABT,0.04525690474192172,,,,-0.005622965374371014,-0.01926444833625207,-0.01350557839107458,-0.027496382054992607,-0.03170028818443804,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,,,-0.02069367531331978,-0.030862417075281257,-0.019550627370878315,-0.03114186851211065,-0.01581722319859402,-0.048428207306712046,-0.07002491004705236,-0.12863070539419086
03-04-2013,35.37412,40,29.0,3.06009,35.0,27.718915546344,27.62792537296,28.397205929752,34.31,28.380662261864003,3.53846,17,ABT,0.07538041009721705,,,,0.021130952380952417,0.01538916839301585,0.0014594279042616787,0.0011672016340822378,-0.02194982896237163,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,,,-0.010383616959907638,0.0011672016340822378,-0.003485332558814891,-0.01774978528485538,0.025403466826060983,-0.05011074197120691,-0.057417582417582325,-0.09040296924708369
03-05-2013,35.37412,40,29.0,3.06009,35.0,28.438565099472,28.430293265528,28.70326378568,34.67,28.678448283848,3.53846,17,ABT,0.05561685366823592,,,,0.010492567764500027,0.03184523809523809,0.026043208049718825,0.017909571344685737,-0.004307869040781065,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.011672016340822822,0.006970665117630004,-0.00028835063437138153,-0.0088622069754144,0.03369111508646405,-0.04542951541850215,-0.07001072961373389,-0.07988322717622076
