 Date,Price Target,Price Target - High,Price Target - Low,Price Target - StdDev,Price Target - Median,Open,Low,High,Close,Adj. Close,Rating,Price Target - #,Ticker,15-day Correlation,30-day Correlation,60-day Correlation,90-day Correlation,1-day Close Change,2-day Close Change,3-day Close Change,5-day Close Change,10-day Close Change,20-day Close Change,30-day Close Change,60-day Close Change,180-day Close Change,1-day Price Target - High Change,2-day Price Target - High Change,3-day Price Target - High Change,5-day Price Target - High Change,10-day Price Target - High Change,20-day Price Target - High Change,30-day Price Target - High Change,1-day Price Target - Low Change,2-day Price Target - Low Change,3-day Price Target - Low Change,5-day Price Target - Low Change,10-day Price Target - Low Change,20-day Price Target - Low Change,30-day Price Target - Low Change,1-day Price Target Count Change,2-day Price Target Count Change,3-day Price Target Count Change,5-day Price Target Count Change,10-day Price Target Count Change,20-day Price Target Count Change,30-day Price Target Count Change,5-day Avg Analyst Rating Change,10-day Avg Analyst Rating Change,20-day Avg Analyst Rating Change,30-day Avg Analyst Rating Change,60-day Avg Analyst Rating Change,5-day Avg Analyst Price Target Change,10-day Avg Analyst Price Target Change,20-day Avg Analyst Price Target Change,30-day Avg Analyst Price Target Change,60-day Avg Analyst Price Target Change,1-day Future Close Change,2-day Future Close Change,3-day Future Close Change,5-day Future Close Change,10-day Future Close Change,20-day Future Close Change,30-day Future Close Change,60-day Future Close Change
02-05-2013,158500.0,175000,143000,13083.06794,157500,97.17,97.0,98.04,97.91,97.91,3.75,3,BRKB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0008177450679749398,0.008238080527237068,0.006786632390745506,0.002149437052200609,-0.02304929155857116,-0.051627276249515686,-0.043287082274770405,-0.08751164958061508
02-06-2013,158500.0,175000,143000,13083.06794,157500,97.35,97.26,97.89,97.83,97.83,3.75,3,BRKB,,,,,-0.0008170769073638784,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.007414272474513428,0.0059640102827762664,0.007206836198908606,-0.0014290088802694223,-0.02336028751123098,-0.05395996518711921,-0.04050608081600626,-0.09950294550810013
02-07-2013,158500.0,175000,143000,13083.06794,157500,97.8,97.01,97.97,97.11,97.11,3.75,3,BRKB,,,,,-0.007359705611775569,-0.008170769073639006,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,-0.001439588688946003,-0.0002059096056831189,-0.006038894575230325,-0.02116722104626545,-0.04050983104436312,-0.06291614397375278,-0.053231939163498,-0.11718181818181816
02-08-2013,158500.0,175000,143000,13083.06794,157500,97.25,96.7301,97.33,97.25,97.25,3.75,3,BRKB,,,,,0.001441664092266537,-0.005928651742819202,-0.006740884485752163,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0012354576340987133,-0.004605936540429956,-0.007349188527100092,-0.02525809361531517,-0.013491580442280382,-0.06553281445181125,-0.05029296875,-0.1151046405823476
02-11-2013,158500.0,175000,143000,13083.06794,157500,97.46,97.04,97.5,97.13,97.13,3.75,3,BRKB,,,,,-0.0012339331619537486,0.00020595201318096557,-0.007155269344781834,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,-0.0058341862845445736,-0.008574053281616867,-0.020965628464872488,-0.03850722629182346,-0.01610615883306321,-0.057081836714882095,-0.06443845116547875,-0.12448170182080409
02-12-2013,158500.0,175000,143000,13083.06794,157500,97.07,97.01,97.99,97.7,97.7,3.75,3,BRKB,,,,,0.005868423761968611,0.004627249357326502,0.006075584388837374,-0.002144826881830153,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,-0.0027559456976624652,-0.015220239895171739,-0.020747719755437433,-0.025144681700259408,-0.03468036755261328,-0.057404727448142845,-0.05292749127568819,-0.11711548888487255
02-13-2013,158500.0,175000,143000,13083.06794,157500,97.72,97.591,98.2,97.97,97.97,3.75,3,BRKB,,,,,0.0027635619242578624,0.00864820343869055,0.0074035989717222694,0.0014310538689563668,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,-0.012498740046366197,-0.018041495439510835,-0.030192041179964324,-0.02196266347209741,-0.04101409553641344,-0.057890181748245007,-0.05978886756238011,-0.12385977463781073
02-14-2013,163500.0,175000,157500,8134.28956,158000,97.84,97.84,99.31,99.21,99.21,3.5,3,BRKB,,,,,0.012656935796672375,0.015455475946775765,0.02141459899104281,0.021624961383997388,,,,,,0.0,0.0,0.0,0.0,,,,0.10139860139860146,0.10139860139860146,0.10139860139860146,0.10139860139860146,,,,0.0,0.0,0.0,0.0,,,,-0.06666666666666665,,,,,0.0031746031746031633,,,,,-0.005612909692292334,-0.017917244110077224,-0.010077828776691278,-0.019760893192372286,-0.027829495345418898,-0.0348282906897559,-0.04117135401565675,-0.11213531412206912
02-15-2013,163500.0,175000,157500,8134.28956,158000,99.64,99.23,99.79,99.77,99.77,3.66667,3,BRKB,,,,,0.005644592279004046,0.018372971317750286,0.021187308085977463,0.025912596401028276,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.10139860139860146,0.10139860139860146,0.10139860139860146,,,,0.0,0.0,0.0,0.0,,,,-0.022221333333333315,,,,,0.0031746031746031633,,,,,-0.012373787368837874,-0.004490121732189212,-0.003993211540381458,0.01207141407993495,-0.021383030897498823,-0.023012142577360062,-0.051074757466235576,-0.11449365403390432
02-19-2013,163500.0,175000,157500,8134.28956,158000,99.98,99.7,101.08,101.02,101.02,3.66667,3,BRKB,,,,,0.012528816277438182,0.018244128616067057,0.03113197917729904,0.040049418305363904,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.10139860139860146,0.10139860139860146,,,,0.0,0.0,0.0,0.0,,,,-0.022221333333333315,,,,,0.0031746031746031633,,,,,0.00798243863500292,0.008485574523310335,-0.0018772848532753184,0.02329821717990277,-0.015975063315799787,-0.007369558809079302,-0.030890253261703804,-0.10419437793739472
