 Date,Price Target,Price Target - High,Price Target - Low,Price Target - StdDev,Price Target - Median,Open,Low,High,Close,Adj. Close,Rating,Price Target - #,Ticker,15-day Correlation,30-day Correlation,60-day Correlation,90-day Correlation,1-day Close Change,2-day Close Change,3-day Close Change,5-day Close Change,10-day Close Change,20-day Close Change,30-day Close Change,60-day Close Change,180-day Close Change,1-day Price Target - High Change,2-day Price Target - High Change,3-day Price Target - High Change,5-day Price Target - High Change,10-day Price Target - High Change,20-day Price Target - High Change,30-day Price Target - High Change,1-day Price Target - Low Change,2-day Price Target - Low Change,3-day Price Target - Low Change,5-day Price Target - Low Change,10-day Price Target - Low Change,20-day Price Target - Low Change,30-day Price Target - Low Change,1-day Price Target Count Change,2-day Price Target Count Change,3-day Price Target Count Change,5-day Price Target Count Change,10-day Price Target Count Change,20-day Price Target Count Change,30-day Price Target Count Change,5-day Avg Analyst Rating Change,10-day Avg Analyst Rating Change,20-day Avg Analyst Rating Change,30-day Avg Analyst Rating Change,60-day Avg Analyst Rating Change,5-day Avg Analyst Price Target Change,10-day Avg Analyst Price Target Change,20-day Avg Analyst Price Target Change,30-day Avg Analyst Price Target Change,60-day Avg Analyst Price Target Change,1-day Future Close Change,2-day Future Close Change,3-day Future Close Change,5-day Future Close Change,10-day Future Close Change,20-day Future Close Change,30-day Future Close Change,60-day Future Close Change
02-05-2013,126.09524,140.0,118.0,5.89515,125.0,76.537764969984,76.385668150016,76.96092477475585,115.81,76.584055306496,4.04167,21,CVX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0008627383314639969,0.006868370718136063,0.0014700795572466507,-0.005922746781115817,0.007131054874337073,-0.022452941672997384,-0.03772330702118809,-0.05104883644706659
02-06-2013,126.09524,140.0,118.0,5.89515,125.0,76.33276490828801,75.94921640576,76.65679726387201,115.91,76.650184358656,4.04167,21,CVX,,,,,0.0008634832915983548,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.007737784733089947,0.0023348322379799225,0.0023348322379799225,0.0032891889552497666,0.008000695712670591,-0.022351551956815152,-0.03681236496592988,-0.06138148837962587
02-07-2013,126.09524,140.0,118.0,5.89515,125.0,76.703087600384,75.605345334528,76.7097005056,115.02,76.061635794432,4.04167,21,CVX,,,,,-0.007678371150030228,-0.0068215180036267364,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,-0.0053614666205465955,-0.0053614666205465955,-0.012703862660944254,-0.005963183821622975,-0.008106243532252533,-0.029940119760479056,-0.05083347086978063,-0.06677484787018262
02-08-2013,126.09524,140.0,118.0,5.89515,125.0,76.002119647488,75.98228093184001,76.564216590848,115.64,76.471635917824,4.04167,21,CVX,,,,,0.005390366892714438,-0.0023293934949529804,-0.001467921595717181,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,-0.007381974248927059,0.0009521336449407336,0.005915100904662518,0.018495684340320562,-0.026025435862882196,-0.03777666833083715,-0.06014304291287387
02-11-2013,126.19048,140.0,120.0,5.77861,125.0,76.49808753868801,76.055022889216,76.603894022144,115.64,76.471635917824,4.04167,21,CVX,,,,,0.0,0.005390366892714438,-0.0023293934949529804,,,,,,,0.0,0.0,0.0,,,,,0.016949152542372836,0.016949152542372836,0.016949152542372836,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,-0.007381974248927059,0.0009521336449407336,-0.000604960677555888,-0.0024154589371980784,0.005915100904662518,-0.02207188160676532,-0.04413952719457759,-0.0625810635538262
02-12-2013,126.19048,140.0,120.0,5.77861,125.0,76.524539159552,76.385668150016,77.261878091136,116.5,77.04034576640001,4.04167,21,CVX,,,,,0.007436873054306403,0.007436873054306403,0.01286732742131802,0.005958034712028271,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.016949152542372836,0.016949152542372836,0.016949152542372836,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.008396087596295398,0.006827413360988688,0.013395963813500389,0.013131576658840016,-0.001285897985426554,-0.015714768502872567,-0.030701389466677775,-0.057748301520543555
02-13-2013,126.19048,140.0,120.0,5.77861,125.0,76.927051138196,76.5831686259608,77.200291118848,115.53,76.993695035916,4.04167,21,CVX,,,,,-0.008326180257510751,-0.0009512279488066433,-0.0009512279488066433,-0.003278405659563388,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.016949152542372836,0.016949152542372836,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,-0.0015556131708580612,0.004958246346555395,-0.0033643892339544346,0.0046960605270023326,-0.013828425096030772,-0.037250000000000005,-0.027688941255680777,-0.06248478454921691
02-14-2013,126.19048,140.0,120.0,5.77861,125.0,76.747112614352,76.683800911518,77.480195489272,115.71,77.11365405181199,4.04167,21,CVX,,,,,0.0015580368735392813,-0.0067811158798283255,0.000605326876513157,0.005998956703181957,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.016949152542372836,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.006524008350730748,-0.0018115942028986698,0.00626141403600311,-0.0021559158330458628,-0.010179640718562921,-0.03317179144385041,-0.032605969400551826,-0.058119658119658135
02-15-2013,126.19048,140.0,120.0,5.77861,125.0,76.9737018666,75.994036570116,77.10698966204001,114.96,76.613824818912,4.04167,21,CVX,,,,,-0.006481721545242403,-0.00493378343287465,-0.013218884120171692,-0.005880318228986603,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.016949152542372836,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,-0.008281573498964856,-0.0002608922515001666,-0.0002608922515001666,0.012506605601549925,-0.021533747552983207,-0.03500377738604887,-0.03394957983193281,-0.08032000000000006
02-19-2013,126.19048,140.0,120.0,5.77861,125.0,76.767105783668,76.767105783668,77.480195489272,115.92,77.253606237024,4.04167,21,CVX,,,,,0.008350730688935437,0.001814882032667997,0.0033757465593351466,0.002421307506053294,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.008087659796504054,0.008087659796504054,-0.00034494653328731584,0.008350730688935437,-0.017044009157975104,-0.02963335007533896,-0.015792154865002517,-0.057637590439801656
