 Date,Price Target,Price Target - High,Price Target - Low,Price Target - StdDev,Price Target - Median,Open,Low,High,Close,Adj. Close,Rating,Price Target - #,Ticker,15-day Correlation,30-day Correlation,60-day Correlation,90-day Correlation,1-day Close Change,2-day Close Change,3-day Close Change,5-day Close Change,10-day Close Change,20-day Close Change,30-day Close Change,60-day Close Change,180-day Close Change,1-day Price Target - High Change,2-day Price Target - High Change,3-day Price Target - High Change,5-day Price Target - High Change,10-day Price Target - High Change,20-day Price Target - High Change,30-day Price Target - High Change,1-day Price Target - Low Change,2-day Price Target - Low Change,3-day Price Target - Low Change,5-day Price Target - Low Change,10-day Price Target - Low Change,20-day Price Target - Low Change,30-day Price Target - Low Change,1-day Price Target Count Change,2-day Price Target Count Change,3-day Price Target Count Change,5-day Price Target Count Change,10-day Price Target Count Change,20-day Price Target Count Change,30-day Price Target Count Change,5-day Avg Analyst Rating Change,10-day Avg Analyst Rating Change,20-day Avg Analyst Rating Change,30-day Avg Analyst Rating Change,60-day Avg Analyst Rating Change,5-day Avg Analyst Price Target Change,10-day Avg Analyst Price Target Change,20-day Avg Analyst Price Target Change,30-day Avg Analyst Price Target Change,60-day Avg Analyst Price Target Change,1-day Future Close Change,2-day Future Close Change,3-day Future Close Change,5-day Future Close Change,10-day Future Close Change,20-day Future Close Change,30-day Future Close Change,60-day Future Close Change
02-05-2013,65.30435,77.0,54.0,5.66019,67.0,43.634232735548,43.561918793328005,43.981339658204,60.68,43.880100139096,4.22222,23,DHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004137018037398743,0.008475984709988227,-0.002137806281861554,-0.004756437592258522,-0.004756437592258522,-0.01764610652420273,-0.010275648344478916,0.0036387694343367194
02-06-2013,65.30435,77.0,54.0,5.66019,67.0,43.323282784002,43.323282784002,43.771629225766006,60.43,43.699315283546,4.22222,23,DHR,,,,,-0.004119973632168761,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.004321090244307824,-0.0062489722085183885,-0.004119973632168761,-0.009668960996394693,-0.0091818330873914,-0.01611852816672099,-0.012420330119300549,-0.006085526315789402
02-07-2013,65.30435,77.0,54.0,5.66019,67.0,43.807786196876,43.287125812892,43.843943167986005,60.17,43.511299033774,4.22222,23,DHR,,,,,-0.004302498758894546,-0.008404746209624281,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,-0.010524584772241385,-0.008404746209624281,-0.013121207151057801,-0.01618705035971213,-0.020989261308167917,-0.028576041330319546,-0.02432300956705047,-0.01859403033762841
02-08-2013,65.30435,77.0,54.0,5.66019,67.0,43.49683624533,43.453447879998,43.974108263982,60.81,43.974108263982,4.22222,23,DHR,,,,,0.01063652983214225,0.006288267416846072,0.00214238628872776,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.00214238628872776,-0.00262424143021156,-0.0034414945919371,-0.014105058365758705,0.01536149607613968,-0.02328943141663986,-0.0037680209698557343,-0.011701608971233513
02-11-2013,65.3913,77.0,54.0,5.71603,67.0,43.952414081316,43.627001341326,43.988571052426,60.68,43.880100139096,4.22222,23,DHR,,,,,-0.002137806281861554,0.008475984709988227,0.004137018037398743,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,-0.004756437592258522,-0.005571943625040987,-0.007848266841072538,-0.018122977346278324,0.0063018242122721,-0.023809523809523725,-0.01875808538163004,-0.015574302401038298
02-12-2013,65.3913,77.0,54.0,5.71603,67.0,44.00303384087,43.880100139096,44.234438455974,60.97,44.089810571534,4.22222,23,DHR,,,,,0.004779169413315687,0.002631146193060374,0.013295662290177868,0.004779169413315687,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,-0.0008194034742707856,-0.0031066056245911966,-0.011511024643320322,0.0,-0.004408883082952397,-0.01851255634256277,-0.014068564036222586,-0.012471655328798237
02-13-2013,65.3913,77.0,54.0,5.71603,67.0,44.25613263864,43.800554802654005,44.33567797508201,61.02,44.125967542644005,4.22222,23,DHR,,,,,0.000820075446941182,0.005603164139749595,0.003453379378391741,0.009763362568260936,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,-0.002289077828646069,-0.010700389105058328,-0.012621359223300876,0.0004918839153960075,-0.009415584415584433,-0.025239616613418447,-0.018181818181818077,-0.014216478190629989
02-14-2013,65.3913,77.0,54.0,5.71603,67.0,43.952414081316,43.764397831544,44.371834946192,61.16,44.227207061752,4.22222,23,DHR,,,,,0.0022943297279578445,0.0031162866983762694,0.007910349373764003,0.01645338208409508,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,-0.008430609597924854,-0.01035598705501617,0.0031162866983762694,-0.004881223560039172,-0.006659087217800952,-0.023782920989624978,-0.010195824567082123,-0.0071428571428572285
02-15-2013,65.3913,77.0,54.0,5.71603,67.0,44.241669850196,43.99580244664801,44.76233023418,61.68,44.603239561296,4.22222,23,DHR,,,,,0.008502289077828795,0.010816125860373615,0.011645071346563896,0.014306857424765562,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,-0.001941747572815511,0.011645071346563896,0.011313330054107285,0.029888128235097566,0.00032435939020447613,-0.002103219543763135,-0.0009718172983479434,-0.0027485852869846283
02-19-2013,65.3913,77.0,54.0,5.71603,67.0,44.65385932085,44.50923143641,44.935883695508,61.8,44.69001629196,4.22222,23,DHR,,,,,0.0019455252918287869,0.01046435578809679,0.012782694198623323,0.018457481872115933,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.01361325241922251,0.013280865715691093,0.0055320533680442985,0.02487562189054726,-0.0067502410800386325,0.008485639686683921,0.011622196758880321,-0.004189494038027819
