 Date,Price Target,Price Target - High,Price Target - Low,Price Target - StdDev,Price Target - Median,Open,Low,High,Close,Adj. Close,Rating,Price Target - #,Ticker,15-day Correlation,30-day Correlation,60-day Correlation,90-day Correlation,1-day Close Change,2-day Close Change,3-day Close Change,5-day Close Change,10-day Close Change,20-day Close Change,30-day Close Change,60-day Close Change,180-day Close Change,1-day Price Target - High Change,2-day Price Target - High Change,3-day Price Target - High Change,5-day Price Target - High Change,10-day Price Target - High Change,20-day Price Target - High Change,30-day Price Target - High Change,1-day Price Target - Low Change,2-day Price Target - Low Change,3-day Price Target - Low Change,5-day Price Target - Low Change,10-day Price Target - Low Change,20-day Price Target - Low Change,30-day Price Target - Low Change,1-day Price Target Count Change,2-day Price Target Count Change,3-day Price Target Count Change,5-day Price Target Count Change,10-day Price Target Count Change,20-day Price Target Count Change,30-day Price Target Count Change,5-day Avg Analyst Rating Change,10-day Avg Analyst Rating Change,20-day Avg Analyst Rating Change,30-day Avg Analyst Rating Change,60-day Avg Analyst Rating Change,5-day Avg Analyst Price Target Change,10-day Avg Analyst Price Target Change,20-day Avg Analyst Price Target Change,30-day Avg Analyst Price Target Change,60-day Avg Analyst Price Target Change,1-day Future Close Change,2-day Future Close Change,3-day Future Close Change,5-day Future Close Change,10-day Future Close Change,20-day Future Close Change,30-day Future Close Change,60-day Future Close Change
02-05-2013,57.95238,68,51,5.42899,60.0,42.575378752214,41.91784394523,43.016225952351,56.91,42.523074847113,3.65385,21,EMR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.00922701949860727,-0.00974421437271622,-0.010260869565217434,-0.02014462809917361,-0.014545454545454639,0.009758694109297306,-0.003502013657853298,0.019892473118279463
02-06-2013,59.28571,68,51,5.06287,60.0,42.306387240266,42.306387240266,42.941506087921,57.44,42.919090128592,3.53846,21,EMR,,,,,0.009312950272359899,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,-0.0005220114842526824,-0.0010434782608695903,-0.005023384721981605,-0.01135972461273671,0.007896122126688887,0.016997167138810276,0.01717726226314853,0.01091165082717338
02-07-2013,59.28571,68,51,5.06287,60.0,42.836898277719,42.470770942012,42.971394033693,57.47,42.941506087921,3.53846,21,EMR,,,,,0.0005222841225627217,0.009840098400984099,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,-0.0005217391304348507,-0.004503724233500761,-0.010502754820936655,-0.01609313473720253,0.0034922297887201026,0.0031419095828242316,0.011973939073780526,0.002966841186736513
02-08-2013,59.28571,68,51,5.06287,60.0,42.95645006080701,42.896674169263,43.26280150497,57.5,42.96392204725,3.53846,21,EMR,,,,,0.0005220114842525714,0.0010445682451254434,0.010367246529608298,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,-0.003984063745019917,-0.009986225895316725,-0.010327022375215211,-0.013552925030022256,0.031020261789492576,0.0001739432944860564,0.029912233566183,0.016619519094766666
02-11-2013,59.28571,68,51,5.06287,60.0,42.971394033693,42.63515464375801,43.24038554564101,57.73,43.135777735439,3.53846,21,EMR,,,,,0.0040000000000000036,0.004524099530189618,0.00504874651810594,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,-0.006026170798898112,-0.0063683304647160766,-0.011641842150316717,-0.014173497267759627,0.028688524590164022,0.01601548750439985,0.04036763380789332,0.009795347210075134
02-12-2013,59.28571,68,51,5.06287,60.0,43.150721708325,43.076001843895,43.606512881348,58.08,43.397297260944,3.53846,21,EMR,,,,,0.006062705698943294,0.010086956521739188,0.010614233513137172,0.020558777016341567,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-0.03158038781011796,,,,,0.0,,,,,-0.000344234079173944,-0.005649717514124242,-0.0036026762738033957,0.005714285714285783,0.014320642682500884,0.033451957295373536,0.049132947976878505,0.006411367180731098
02-13-2013,59.28571,68,51,5.06287,60.0,43.6080002805,43.5026487699,43.9014794886,58.1,43.720876899,3.53846,21,EMR,,,,,0.0003443526170798794,0.006409146024597412,0.01043478260869568,0.01149025069637899,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,-0.005307310392056119,-0.003259564247726887,-0.007855191256830651,0.019477101245832573,0.024691358024691246,0.010083449235048558,0.03991408627170223,0.0024154589371980784
02-14-2013,59.77273,70,51,5.42663,60.0,43.570374741,43.4123474751,44.0143561071,58.41,43.9541552439,3.55556,22,EMR,,,,,0.005335628227194356,0.005681818181818121,0.011778971072232913,0.016356359839916346,,,,,,0.02941176470588225,0.02941176470588225,0.02941176470588225,0.02941176470588225,,,,0.0,0.0,0.0,0.0,,,,0.04761904761904767,0.04761904761904767,0.04761904761904767,0.04761904761904767,,,,0.004832610796787318,,,,,0.0,,,,,0.0020586721564590515,-0.0025614754098362003,0.011428571428571344,0.019905709795704496,0.04173354735152479,0.014238583087341494,0.061806944191965085,0.010204081632652962
02-15-2013,59.77273,70,51,5.42663,60.0,44.0068309992,43.6305756042,44.1347578335,58.29,43.8638539491,3.55556,22,EMR,,,,,-0.0020544427324088455,0.0032702237521513577,0.003615702479338845,0.013739130434782698,,,,,,0.0,0.02941176470588225,0.02941176470588225,0.02941176470588225,,,,0.0,0.0,0.0,0.0,,,,0.0,0.04761904761904767,0.04761904761904767,0.04761904761904767,,,,0.004832610796787318,,,,,0.0,,,,,-0.004610655737704916,0.009350649350649443,0.02281101947710118,0.045185583647121996,0.04951386388188683,0.0238889864746179,0.061942065950082004,-0.012033898305084723
02-19-2013,60.0,70,51,5.53501,60.0,43.8864292728,43.5929500647,44.14604549535,58.56,44.0670318624,3.55556,22,EMR,,,,,0.0046320123520329215,0.002568053415511251,0.00791738382099827,0.014377273514637245,,,,,,0.0,0.0,0.02941176470588225,0.02941176470588225,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.04761904761904767,0.04761904761904767,,,,0.004832610796787318,,,,,0.0,,,,,0.014025974025974053,0.027548692753114556,0.022524882137244573,0.04347826086956541,0.04106666666666681,0.02827041264266894,0.06608410704533041,0.0010256410256410664
