 Date,Price Target,Price Target - High,Price Target - Low,Price Target - StdDev,Price Target - Median,Open,Low,High,Close,Adj. Close,Rating,Price Target - #,Ticker,15-day Correlation,30-day Correlation,60-day Correlation,90-day Correlation,1-day Close Change,2-day Close Change,3-day Close Change,5-day Close Change,10-day Close Change,20-day Close Change,30-day Close Change,60-day Close Change,180-day Close Change,1-day Price Target - High Change,2-day Price Target - High Change,3-day Price Target - High Change,5-day Price Target - High Change,10-day Price Target - High Change,20-day Price Target - High Change,30-day Price Target - High Change,1-day Price Target - Low Change,2-day Price Target - Low Change,3-day Price Target - Low Change,5-day Price Target - Low Change,10-day Price Target - Low Change,20-day Price Target - Low Change,30-day Price Target - Low Change,1-day Price Target Count Change,2-day Price Target Count Change,3-day Price Target Count Change,5-day Price Target Count Change,10-day Price Target Count Change,20-day Price Target Count Change,30-day Price Target Count Change,5-day Avg Analyst Rating Change,10-day Avg Analyst Rating Change,20-day Avg Analyst Rating Change,30-day Avg Analyst Rating Change,60-day Avg Analyst Rating Change,5-day Avg Analyst Price Target Change,10-day Avg Analyst Price Target Change,20-day Avg Analyst Price Target Change,30-day Avg Analyst Price Target Change,60-day Avg Analyst Price Target Change,1-day Future Close Change,2-day Future Close Change,3-day Future Close Change,5-day Future Close Change,10-day Future Close Change,20-day Future Close Change,30-day Future Close Change,60-day Future Close Change
02-05-2013,223.36,251,198,15.70702,225.0,132.06294476616398,130.89945154224398,132.3473542209,202.79,131.08043937707598,3.63636,25,IBM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008805094020495341,0.015269850806047813,0.0055037683458945,0.013747250549890122,0.017460237820480673,-0.026825990978020964,-0.05705384543848235,0.00197638223232377
02-06-2013,223.36,251,198,15.70702,225.0,130.07432526926098,129.535567397244,130.65852055217098,201.02,130.483261967298,3.63636,25,IBM,,,,,-0.008728241037526452,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.006408330830079079,-0.0032725109083696635,0.00429656274980017,0.004647908441201443,0.01356325316391871,-0.04011078216025199,-0.05295392443229996,-0.01706518018678782
02-07-2013,223.36,251,198,15.70702,225.0,130.223619619338,128.964354231732,130.411860321609,199.74,129.652406453826,3.63636,25,IBM,,,,,-0.0063675256193413965,-0.01504018935844953,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,-0.009619198730662415,-0.0020983213429256464,-0.0014997000599878962,0.00045078888054095323,-0.006713411905117095,-0.05057514972906163,-0.05818559034326676,-0.014991616530229734
02-08-2013,223.36,251,198,15.70702,225.0,129.801700803903,129.613460101632,131.177805248091,201.68,130.911671841432,3.63636,25,IBM,,,,,0.009712626414338565,0.003283255397472873,-0.005473642684550417,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.007593924860112011,0.008198360327934529,0.007946424109150918,0.0034829336252364396,0.02111285504531435,-0.03998476770754,-0.042991363765777724,-0.009576192113146309
02-11-2013,223.36,251,198,15.70702,225.0,130.45729773250198,129.658897512525,131.08693042630497,200.16,129.925030919184,3.63636,25,IBM,,,,,-0.007536691788972649,0.0021027335536196734,-0.004278181275495063,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0005998800239952473,0.0003498425708430286,0.0025544703230653276,-0.0007987220447284171,0.005122024706236905,-0.04934694846829735,-0.0574496138632512,-0.02275168440581976
02-12-2013,223.36,251,198,15.70702,225.0,129.827665038699,129.185050227498,130.2982667943765,200.04,129.847138214796,3.63636,25,IBM,,,,,-0.0005995203836930418,-0.008131693772312598,0.0015019525382997667,-0.013560826470733311,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,-0.0002498875506022902,0.0019534184823439826,-0.004677082296745905,0.003662636094525995,-0.011318143626748434,-0.05668207111194945,-0.05144862250462323,-0.015744932099980402
02-13-2013,223.36,251,198,15.70702,225.0,130.243092795435,129.542058455943,130.437824556405,200.09,129.879593508291,3.63636,25,IBM,,,,,0.00024995000999816774,-0.0003497202238209596,-0.007883776279254295,-0.004626405332802785,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.002203856749311228,-0.004428301323514683,-0.0011481629392970927,0.0088740987243483,-0.0036847084598915503,-0.0727988878591288,-0.061931551804969565,-0.021421235389054605
02-14-2013,223.36,251,198,15.70702,225.0,129.645915395127,129.340835636274,130.028887858368,199.65,129.593986925535,3.63636,25,IBM,,,,,-0.0021990104452995762,-0.0019496100779843317,-0.0025479616306953723,-0.00045058576148993,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,-0.006617573887948924,-0.003344648562300212,0.0017058853042999367,-0.007160972698791568,-0.01606623626238224,-0.07104969290898933,-0.059939730671437985,-0.013927989331752766
02-15-2013,223.36,251,198,15.70702,225.0,129.80819186260197,129.704334923418,130.632556317375,200.98,130.45729773250198,3.63636,25,IBM,,,,,0.006661657901327223,0.004447998400719522,0.0046990601879624005,-0.003470844902816461,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.0032947284345048455,0.008378907229943167,0.013361569102001702,0.017568730697179902,-0.020517569082313947,-0.057361286994043525,-0.062418361634633435,-0.010973869396191271
02-19-2013,223.36,251,198,15.70702,225.0,130.21063750194,129.96397727137798,131.047984074111,200.32,130.028887858368,3.63636,25,IBM,,,,,-0.0032839088466514177,0.0033558727773603803,0.0011494827327702684,0.0007993605115907965,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,0.00506748281571423,0.01003378208037109,-0.0038291312347705775,0.005925479562117086,-0.03006827095337239,-0.06146926536731634,-0.05802689739490263,-0.014755065905961096
