 Date,Price Target,Price Target - High,Price Target - Low,Price Target - StdDev,Price Target - Median,Open,Low,High,Close,Adj. Close,Rating,Price Target - #,Ticker,15-day Correlation,30-day Correlation,60-day Correlation,90-day Correlation,1-day Close Change,2-day Close Change,3-day Close Change,5-day Close Change,10-day Close Change,20-day Close Change,30-day Close Change,60-day Close Change,180-day Close Change,1-day Price Target - High Change,2-day Price Target - High Change,3-day Price Target - High Change,5-day Price Target - High Change,10-day Price Target - High Change,20-day Price Target - High Change,30-day Price Target - High Change,1-day Price Target - Low Change,2-day Price Target - Low Change,3-day Price Target - Low Change,5-day Price Target - Low Change,10-day Price Target - Low Change,20-day Price Target - Low Change,30-day Price Target - Low Change,1-day Price Target Count Change,2-day Price Target Count Change,3-day Price Target Count Change,5-day Price Target Count Change,10-day Price Target Count Change,20-day Price Target Count Change,30-day Price Target Count Change,5-day Avg Analyst Rating Change,10-day Avg Analyst Rating Change,20-day Avg Analyst Rating Change,30-day Avg Analyst Rating Change,60-day Avg Analyst Rating Change,5-day Avg Analyst Price Target Change,10-day Avg Analyst Price Target Change,20-day Avg Analyst Price Target Change,30-day Avg Analyst Price Target Change,60-day Avg Analyst Price Target Change,1-day Future Close Change,2-day Future Close Change,3-day Future Close Change,5-day Future Close Change,10-day Future Close Change,20-day Future Close Change,30-day Future Close Change,60-day Future Close Change
02-05-2013,39.17062,46.5,35.0,2.45942,39.0,26.260537745640004,26.177910195525,26.365700082150003,34.85,26.177910195525,3.7027,32,WFC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003431512725192931,0.005481823427582411,-0.0008600917431192956,-0.018586313714446523,-0.007122507122507171,-0.03328710124826617,-0.06917735042735029,-0.06843090082865533
02-06-2013,39.20188,46.5,35.0,2.4634,39.0,26.162887004595,26.072747859015003,26.27556093657,34.97,26.268049341105,3.7027,32,WFC,,,,,0.003443328550932545,,,,,,,,,0.0,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.00894402769763425,0.0025802752293577758,-0.008224617129892198,-0.004554511813265161,-0.013818386914833725,-0.03981328940142781,-0.05842757135164245,-0.07339692633810291
02-07-2013,39.20188,46.5,35.0,2.4634,39.0,26.24551455471,25.952562331575,26.253026150175003,34.66,26.03518988169,3.7027,32,WFC,,,,,-0.008864741206748739,-0.005451936872310048,,,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,0.0,0.0,,,,,,,,,,,,,,,,-0.006307339449541427,-0.017016449234259823,-0.02393691917769647,-0.015620562340244337,-0.032384142936906835,-0.05041095890410974,-0.0682795698924733,-0.08548812664907657
02-08-2013,39.20188,46.5,35.0,2.4634,39.0,26.057724668085,26.05021307262,26.226735566047505,34.88,26.200444981920004,3.7027,32,WFC,,,,,0.006347374495095481,-0.0025736345438946984,0.0008608321377332473,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,-0.010777084515031121,-0.017741481272880777,-0.0071164247082265986,-0.00796359499431154,0.0025869502730671012,-0.06059789927282522,-0.06261757592045147,-0.09166666666666656
02-11-2013,39.28667,46.5,35.0,2.47276,39.0,26.253026150175003,26.230491363780004,26.583536350635,35.26,26.48588560959,3.75676,33,WFC,,,,,0.010894495412843819,0.017311021350259637,0.008292822419216472,,,,,,,0.0,0.0,0.0,,,,,0.0,0.0,0.0,,,,,0.03125,0.03125,0.03125,,,,,,,,,,,,,,,-0.007040270346381328,0.0037005408482777558,0.0014200511218402934,0.0034149117814454844,0.01467625899280578,-0.03818876159301687,-0.05469168900804289,-0.08296488946684022
02-12-2013,39.28667,46.5,35.0,2.47276,39.0,26.538466777845,26.45583922773,26.703721878075,35.51,26.673675496215,3.75676,33,WFC,,,,,0.007090187180941676,0.01806192660550443,0.024523946912867967,0.018938307030128998,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.03125,0.03125,0.03125,,,,0.014600156642450068,,,,,0.0,,,,,0.010816965556504243,0.008520306731042204,0.009954493742889703,0.011680911680911565,0.010816965556504243,-0.03426706554256198,-0.03975121687398586,-0.06281340723145956
02-13-2013,39.28667,46.5,35.0,2.47276,39.0,26.628605923425003,26.253026150175003,26.681187091680005,35.13,26.388234868545005,3.75676,33,WFC,,,,,-0.01070121092649945,-0.003686897334089445,0.007167431192660612,0.004575350300257464,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.03125,0.03125,,,,0.014600156642450068,,,,,0.0,,,,,-0.002272081794944536,-0.0008532423208189588,-0.0002845759817871052,-0.009306260575296044,0.0014253135689852314,-0.04977008385177162,-0.05028386050283862,-0.07625558769392582
02-14-2013,39.40788,46.5,35.0,2.50455,39.0,26.305607318430003,26.222979768315,26.493397205055004,35.21,26.448327632265,3.78378,33,WFC,,,,,0.002277255906632414,-0.00844832441565746,-0.0014180374361881798,0.015868436237738148,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.03125,,,,0.021897534231776872,,,,,0.0,,,,,0.0014220705346985607,0.0019920318725099584,0.0031339031339030488,-0.017029592406476834,-0.005086182537439976,-0.07827225130890059,-0.046574600595721605,-0.07827225130890059
02-15-2013,39.32688,46.5,35.0,2.50045,39.0,26.470862418660005,26.305607318430003,26.56100156424,35.16,26.41076965494,3.75,32,WFC,,,,,-0.0014200511218405154,0.0008539709649870719,-0.009856378484933814,0.008027522935779574,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,-0.030303030303030276,-0.030303030303030276,-0.030303030303030276,0.0,,,,0.012774461879169197,,,,,0.0,,,,,0.0005691519635742104,0.0017094017094014813,-0.008460236886632999,0.010635240011497515,-0.019246861924686276,-0.06885593220338992,-0.04663774403470733,-0.09287925696594435
02-19-2013,39.32688,46.5,35.0,2.50045,39.0,26.418281250405,26.35067689122,26.493397205055004,35.14,26.395746464010003,3.75,32,WFC,,,,,-0.0005688282138792689,-0.001988071570576566,0.000284656988329024,-0.003403289846851898,,,,,,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,-0.030303030303030276,-0.030303030303030276,-0.030303030303030276,,,,-0.0017994229069729917,,,,,0.0,,,,,0.0011396011396012096,-0.009024252679075029,-0.018983807928531493,0.011223021582733805,-0.02062430323299891,-0.06268338223526282,-0.04172347968366519,-0.10585241730279893
02-20-2013,39.32688,46.5,35.0,2.50045,39.0,26.358188486685005,26.335653700290003,26.53103029833465,35.1,26.365700082150003,3.75,32,WFC,,,,,-0.0011383039271485318,-0.0017064846416381396,-0.0031241124680487786,-0.011546043368065195,0.007173601147776099,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,-0.030303030303030276,-0.030303030303030276,0.0,,,-0.0017994229069729917,0.012774461879169197,,,,0.0,0.0,,,,-0.010152284263959421,-0.02010050251256279,0.008910606496119744,-0.0008539709649871829,-0.026352288488210696,-0.06249999999999989,-0.061998931052912876,-0.10596026490066213
